,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
16,110/12/23,70192000,4502478700,64.4,64.5,63.8,63.9,0.2,24004
15,110/12/22,82805019,5272644398,63.4,63.9,63.3,63.7,0.8,32057
14,110/12/21,77194530,4858716774,62.6,63.3,62.4,62.9,0.7,28819
13,110/12/20,64252312,3998612703,62.3,62.6,62.0,62.2,-0.1,26938
12,110/12/17,87887977,5482562791,62.2,62.7,62.1,62.3,-0.7,36055
11,110/12/16,137992139,8767242391,64.2,64.6,62.9,63.0,0.3,47146
10,110/12/15,93432341,5874484487,62.5,63.4,62.5,62.7,0.3,34084
9,110/12/14,104224750,6481167549,62.5,62.7,61.5,62.4,-0.4,47831
8,110/12/13,105861369,6691591378,63.9,63.9,62.8,62.8,-0.7,49586
7,110/12/10,150492336,9528543401,62.9,64.2,62.7,63.5,-0.5,69749
6,110/12/09,284846501,18443409906,65.1,65.7,64.0,64.0,-2.5,129156
5,110/12/08,145655452,9817471029,68.2,68.2,66.5,66.5,0.0,53570
4,110/12/07,155940341,10399376491,67.9,67.9,66.2,66.5,-0.8,60053
3,110/12/06,135275019,9104720191,68.2,68.2,66.7,67.3,-1.0,56049
2,110/12/03,184869986,12543191944,67.6,68.4,67.0,68.3,1.6,71450
1,110/12/02,310855392,20981992809,67.4,68.5,66.6,66.7,-0.3,119965
0,110/12/01,271771178,17840072516,64.4,67.0,64.1,67.0,3.3,105145
21,110/11/30,278039788,17946671441,64.3,65.2,63.7,63.7,1.3,82636
20,110/11/29,111522499,6914977085,62.0,62.7,60.9,62.4,-0.1,45536
19,110/11/26,182950308,11606844458,64.6,64.8,62.5,62.5,-0.5,64150
18,110/11/25,67823318,4266325823,63.5,63.5,62.6,63.0,-0.1,30909
17,110/11/24,93507208,5874883330,62.7,63.4,62.5,63.1,-0.1,39210
16,110/11/23,136648850,8686923047,64.5,64.5,62.9,63.2,-1.5,56573
15,110/11/22,152277291,9923646837,65.5,66.0,64.6,64.7,-0.4,48115
14,110/11/19,369983118,24089459415,64.2,66.1,64.0,65.1,2.0,122359
13,110/11/18,83090853,5258199651,63.6,63.9,63.0,63.1,-0.5,26748
12,110/11/17,111672389,7086737039,63.3,64.1,62.7,63.6,0.6,37926
11,110/11/16,75321000,4770945833,63.7,63.7,63.0,63.0,-0.4,27393
10,110/11/15,74723917,4729381259,63.6,63.7,62.8,63.4,0.8,28781
9,110/11/12,108784766,6874056759,63.3,63.8,62.5,62.6,0.4,41122
8,110/11/11,108617850,6783978515,62.4,62.8,62.1,62.2,-0.9,43548
7,110/11/10,128033517,8093147002,63.4,64.0,62.4,63.1,0.0,51497
6,110/11/09,229917342,14694502223,63.8,64.9,63.1,63.1,0.6,95041
