,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
17,110/12/24,9469179,177095227,18.65,18.75,18.65,18.75,0.1,2857
16,110/12/23,6717331,125171707,18.65,18.7,18.6,18.65,0.0,2800
15,110/12/22,8405573,156362529,18.65,18.7,18.55,18.65,0.05,3069
14,110/12/21,12334957,229428401,18.55,18.65,18.5,18.6,0.05,3421
13,110/12/20,16205765,300947789,18.65,18.75,18.5,18.55,-0.2,6885
12,110/12/17,15719232,294141811,18.65,18.75,18.6,18.75,0.1,3359
11,110/12/16,11161937,207686902,18.65,18.7,18.55,18.65,0.0,5015
10,110/12/15,12164237,226621193,18.7,18.7,18.6,18.65,-0.1,4987
9,110/12/14,18256828,340871350,18.8,18.85,18.6,18.75,-0.15,8288
8,110/12/13,15409308,291401098,18.95,19.0,18.85,18.9,-0.05,8527
7,110/12/10,16946575,321678676,18.95,19.1,18.9,18.95,-0.05,5299
6,110/12/09,16021653,303317963,18.9,19.0,18.85,19.0,0.15,40011
5,110/12/08,17042589,321043787,19.0,19.0,18.7,18.85,-0.05,60031
4,110/12/07,20638897,387440500,18.7,18.9,18.6,18.9,0.2,21958
3,110/12/06,19480362,362573181,18.55,18.7,18.45,18.7,0.15,4770
2,110/12/03,13762890,255577063,18.6,18.65,18.5,18.55,-0.05,3927
1,110/12/02,18674896,344776601,18.6,18.6,18.3,18.6,-0.05,5170
0,110/12/01,27466171,507232087,18.3,18.65,18.2,18.65,0.05,7199
21,110/11/30,80818891,1493123386,18.2,18.6,18.15,18.6,0.4,8449
20,110/11/29,29863646,541064814,18.1,18.2,18.0,18.2,-0.15,11376
19,110/11/26,36151704,664568165,18.6,18.65,18.3,18.35,-0.35,15675
18,110/11/25,14038537,261713020,18.65,18.7,18.6,18.7,0.1,4393
17,110/11/24,14240818,265448082,18.55,18.8,18.55,18.6,0.0,5454
16,110/11/23,17929655,333657213,18.7,18.75,18.5,18.6,-0.1,6040
15,110/11/22,22048048,412262638,18.9,18.95,18.6,18.7,-0.25,7981
14,110/11/19,36873445,698865399,19.3,19.3,18.8,18.95,-0.35,13120
13,110/11/18,26403421,508730170,19.35,19.45,19.1,19.3,0.05,9054
12,110/11/17,50029141,958132950,18.85,19.35,18.8,19.25,0.55,14057
11,110/11/16,20131104,375962664,18.65,18.75,18.6,18.7,0.15,6171
10,110/11/15,20257685,376687322,18.5,18.7,18.5,18.55,0.1,6743
9,110/11/12,14056229,259522170,18.5,18.55,18.35,18.45,0.0,4608
8,110/11/11,17154676,315557085,18.3,18.45,18.25,18.45,0.15,4936
7,110/11/10,10463676,190997892,18.25,18.3,18.15,18.3,0.0,3663
6,110/11/09,10721530,195243350,18.2,18.3,18.15,18.3,0.1,4074
5,110/11/08,8498217,154702794,18.25,18.25,18.15,18.2,-0.05,3662
4,110/11/05,14947311,271186314,18.2,18.25,18.05,18.25,0.05,5064
3,110/11/04,9738123,177152086,18.2,18.25,18.15,18.2,0.05,3288
2,110/11/03,12412977,224845666,18.15,18.2,18.05,18.15,0.0,4808
1,110/11/02,12771217,232494344,18.3,18.3,18.15,18.15,-0.1,4235
0,110/11/01,14775510,269502407,18.3,18.4,18.15,18.25,0.0,5432
19,110/10/29,20244807,370284161,18.4,18.45,18.25,18.25,-0.2,5822
18,110/10/28,12360062,227427800,18.4,18.45,18.3,18.45,0.05,2978
17,110/10/27,20018639,368310039,18.55,18.55,18.3,18.4,-0.15,6135
16,110/10/26,12211674,227056049,18.6,18.7,18.5,18.55,-0.05,3880
15,110/10/25,14609157,270500920,18.5,18.6,18.4,18.6,0.1,4538
14,110/10/22,14096015,260643265,18.5,18.6,18.45,18.5,0.0,4484
13,110/10/21,13515769,250562096,18.6,18.65,18.45,18.5,0.0,3822
12,110/10/20,13786980,255138546,18.7,18.7,18.45,18.5,-0.1,5656
11,110/10/19,23361990,435032356,18.75,18.8,18.5,18.6,-0.05,7915
10,110/10/18,50985433,948016356,18.3,18.75,18.25,18.65,0.45,12134
9,110/10/15,29999465,543788517,18.0,18.2,17.95,18.2,0.3,9135
8,110/10/14,12836036,229869751,18.0,18.0,17.85,17.9,-0.05,3734
7,110/10/13,12271115,219849918,18.0,18.0,17.85,17.95,-0.05,5005
6,110/10/12,31569236,562619408,17.8,18.0,17.65,18.0,0.05,8294
5,110/10/08,14700325,263908322,18.05,18.05,17.9,17.95,-0.05,4939
4,110/10/07,23072360,414800009,17.9,18.05,17.9,18.0,0.15,6575
3,110/10/06,21546864,383987229,17.9,17.95,17.75,17.85,0.0,9147
2,110/10/05,23045004,410766059,17.8,17.9,17.75,17.85,0.05,8757
1,110/10/04,21243131,377308384,17.95,17.95,17.7,17.8,0.05,6836
0,110/10/01,35322000,628975675,18.05,18.05,17.7,17.75,-0.35,14157
19,110/09/30,19016915,342075212,17.9,18.1,17.85,18.1,+0.10,4161
18,110/09/29,22375722,400938567,17.95,18.0,17.85,18.0,-0.05,9241
17,110/09/28,15005649,269308924,17.95,18.05,17.8,18.05,+0.05,4543
16,110/09/27,20218100,363610373,18.05,18.1,17.9,18.0,-0.05,5114
15,110/09/24,18698731,337624669,18.2,18.3,17.95,18.05,0.00,5017
14,110/09/23,17796749,320571602,18.0,18.1,17.95,18.05,+0.15,4331
13,110/09/22,46311258,827448459,17.8,18.0,17.7,17.9,-0.30,16076
12,110/09/17,39219226,715434216,18.45,18.45,18.2,18.2,-0.20,8346
11,110/09/16,18314052,336634726,18.4,18.5,18.3,18.4,+0.05,5472
10,110/09/15,21909221,402857359,18.5,18.5,18.3,18.35,-0.20,6636
9,110/09/14,29027501,539151444,18.6,18.7,18.5,18.55,0.00,8154
8,110/09/13,43247311,801411137,18.25,18.8,18.2,18.55,+0.30,11089
7,110/09/10,24756508,449995851,17.95,18.3,17.95,18.25,+0.30,6726
6,110/09/09,28391783,506462182,17.7,18.0,17.65,17.95,+0.10,7842
5,110/09/08,53475000,957289394,18.15,18.15,17.7,17.85,-0.25,22707
4,110/09/07,119948046,2178314207,18.2,18.45,18.05,18.1,X0.00,26930
3,110/09/06,98546879,1906498676,19.2,19.5,19.15,19.35,+0.30,19973
2,110/09/03,62472938,1187873539,18.85,19.1,18.85,19.05,+0.20,17404
1,110/09/02,74927911,1416938542,19.25,19.25,18.8,18.85,-0.40,17728
0,110/09/01,72847917,1411202162,19.4,19.7,19.2,19.25,-0.10,16974
21,110/08/31,100055468,1930096014,19.55,19.55,19.1,19.35,-0.25,23798
20,110/08/30,99741901,1919219562,18.6,19.6,18.6,19.6,1.2,24783
19,110/08/27,71597427,1305815580,17.85,18.45,17.75,18.4,0.55,13839
18,110/08/26,29587942,525291549,17.8,17.9,17.6,17.85,0.05,6782
17,110/08/25,34221793,606107294,17.8,17.85,17.5,17.8,0.1,8525
16,110/08/24,64963693,1132976893,17.2,17.7,17.1,17.7,0.6,12464
15,110/08/23,22159881,378116979,17.0,17.15,16.95,17.1,0.2,4555
14,110/08/20,18803328,317587868,16.95,17.0,16.8,16.9,0.0,5817
13,110/08/19,20459513,345621348,17.0,17.05,16.8,16.9,-0.1,5131
12,110/08/18,17970229,303659100,16.85,17.0,16.8,17.0,0.1,4827
11,110/08/17,20408912,343900705,16.9,16.9,16.75,16.9,0.1,5014
10,110/08/16,31018806,521780606,17.0,17.0,16.7,16.8,-0.15,8753
9,110/08/13,17605915,299008557,17.05,17.05,16.9,16.95,-0.15,5125
8,110/08/12,12106322,207397195,17.15,17.2,17.05,17.1,0.0,3979
7,110/08/11,23441639,401024786,17.05,17.2,17.0,17.1,0.1,6164
6,110/08/10,19894214,338962273,17.05,17.15,17.0,17.0,-0.05,5133
5,110/08/09,12666890,215794730,17.05,17.1,16.95,17.05,-0.05,3412
4,110/08/06,17046315,291657644,17.15,17.2,17.0,17.1,0.05,4545
3,110/08/05,20771740,353553453,17.0,17.1,16.95,17.05,0.05,4489
2,110/08/04,11794119,200202873,17.0,17.0,16.9,17.0,0.0,3614
1,110/08/03,16626468,282094289,17.1,17.1,16.9,17.0,0.0,4766
0,110/08/02,18631909,316636896,17.2,17.2,16.9,17.0,0.05,5566
21,110/07/30,20317230,344681254,17.05,17.1,16.9,16.95,-0.1,5339
20,110/07/29,23239821,394056290,16.85,17.05,16.8,17.05,0.2,5120
19,110/07/28,44248337,738102428,16.7,16.85,16.5,16.85,0.1,10236
18,110/07/27,60619033,1024039535,17.4,17.4,16.7,16.75,-0.45,16284
17,110/07/26,47352676,820811556,17.2,17.5,17.2,17.2,0.05,12314
16,110/07/23,39773905,678481230,16.95,17.2,16.9,17.15,0.25,9144
15,110/07/22,29651831,499556133,16.8,16.9,16.75,16.9,0.2,7176
14,110/07/21,26253104,436637331,16.65,16.7,16.55,16.7,0.2,7818
13,110/07/20,35960554,596996634,16.65,16.75,16.5,16.5,-0.3,9217
12,110/07/19,39602325,662325723,16.7,16.8,16.55,16.8,0.2,8865
11,110/07/16,36609201,603205669,16.3,16.6,16.25,16.6,0.35,8401
10,110/07/15,23011300,374131363,16.3,16.35,16.2,16.25,-0.05,4732
9,110/07/14,21831054,356565054,16.4,16.45,16.25,16.3,-0.05,5137
8,110/07/13,34612592,564922620,16.3,16.4,16.25,16.35,0.15,7186
7,110/07/12,54425256,890202459,16.25,16.6,16.2,16.2,0.1,12997
6,110/07/09,45847814,737334365,15.95,16.2,15.95,16.1,0.2,11271
