,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
11,111/03/16,587357,554068827,945.0,958.0,931.0,956.0,11.0,1078
10,111/03/15,1003605,967926000,1000.0,1000.0,942.0,945.0,-85.0,1218
9,111/03/14,664453,658214123,968.0,1030.0,968.0,1030.0,66.0,823
8,111/03/11,486170,467086178,949.0,967.0,945.0,964.0,10.0,522
7,111/03/10,665576,639906456,960.0,972.0,954.0,954.0,3.0,811
6,111/03/09,845102,795123577,924.0,953.0,919.0,951.0,54.0,964
5,111/03/08,752228,675986304,888.0,917.0,888.0,897.0,-12.0,1024
4,111/03/07,770876,699479641,907.0,920.0,903.0,909.0,-15.0,996
3,111/03/04,480446,444343848,925.0,935.0,916.0,924.0,-9.0,710
2,111/03/03,665881,628736644,970.0,970.0,930.0,933.0,-31.0,1184
1,111/03/02,505110,487481157,970.0,970.0,956.0,964.0,-5.0,459
0,111/03/01,939389,914632730,980.0,990.0,967.0,969.0,-18.0,1276
14,111/02/25,355160,349336618,985.0,991.0,975.0,987.0,10.0,433
13,111/02/24,329814,324901437,995.0,1000.0,974.0,977.0,-18.0,776
12,111/02/23,203355,203511740,1015.0,1015.0,995.0,995.0,-5.0,371
11,111/02/22,359058,357560884,1000.0,1010.0,988.0,1000.0,-5.0,458
10,111/02/21,193092,195871360,1030.0,1030.0,1005.0,1005.0,-40.0,311
9,111/02/18,275165,285359395,1035.0,1050.0,1025.0,1045.0,0.0,314
8,111/02/17,449354,467831830,1040.0,1055.0,1030.0,1045.0,0.0,527
7,111/02/16,528951,549348885,1025.0,1055.0,1025.0,1045.0,25.0,634
6,111/02/15,394607,400286120,999.0,1020.0,998.0,1020.0,31.0,438
5,111/02/14,401840,399996670,1005.0,1010.0,989.0,989.0,-16.0,504
4,111/02/11,663273,663425234,997.0,1015.0,983.0,1005.0,8.0,650
3,111/02/10,617973,612807201,996.0,1005.0,974.0,997.0,10.0,642
2,111/02/09,814351,802832073,980.0,999.0,961.0,987.0,2.0,807
1,111/02/08,363554,358241801,991.0,994.0,980.0,985.0,7.0,439
0,111/02/07,582265,571419343,996.0,996.0,966.0,978.0,-18.0,785
17,111/01/26,357896,358518975,995.0,1010.0,992.0,996.0,11.0,518
16,111/01/25,672964,665857787,1005.0,1010.0,983.0,985.0,-35.0,1016
15,111/01/24,546228,548731033,1005.0,1020.0,985.0,1020.0,5.0,677
14,111/01/21,821366,838392295,1010.0,1030.0,1005.0,1015.0,5.0,872
13,111/01/20,1383794,1429889221,1085.0,1090.0,1005.0,1010.0,-75.0,1682
12,111/01/19,999999,1075495330,1060.0,1095.0,1035.0,1085.0,0.0,997
11,111/01/18,397967,432771325,1075.0,1100.0,1070.0,1085.0,10.0,468
10,111/01/17,623624,667568090,1065.0,1090.0,1055.0,1075.0,15.0,702
9,111/01/14,668666,705253445,1070.0,1075.0,1040.0,1060.0,-25.0,734
8,111/01/13,413933,449296750,1120.0,1120.0,1065.0,1085.0,-15.0,489
7,111/01/12,526358,579314775,1120.0,1120.0,1085.0,1100.0,-20.0,595
6,111/01/11,1086768,1197575825,1095.0,1120.0,1070.0,1120.0,10.0,1112
5,111/01/10,813717,886363705,1075.0,1110.0,1065.0,1110.0,45.0,858
4,111/01/07,923990,974608691,1055.0,1070.0,1030.0,1065.0,25.0,813
3,111/01/06,846981,895173655,1090.0,1095.0,1035.0,1040.0,-75.0,1318
2,111/01/05,550341,609912225,1115.0,1125.0,1095.0,1115.0,-20.0,628
1,111/01/04,597505,670308576,1120.0,1135.0,1100.0,1135.0,45.0,704
