,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1,111/03/02,4342229,127785146,29.5,29.55,29.3,29.55,0.05,2070
0,111/03/01,4287675,126319087,29.5,29.55,29.35,29.5,-0.05,2251
14,111/02/25,8903059,260847527,28.95,29.55,28.9,29.55,0.55,2605
13,111/02/24,4819321,140138925,29.2,29.3,28.9,29.0,-0.15,2373
12,111/02/23,2581592,75501883,29.05,29.45,29.05,29.15,-0.05,1500
11,111/02/22,4024275,116956481,29.3,29.3,28.95,29.2,-0.1,1836
10,111/02/21,2625365,77036849,29.45,29.55,29.2,29.3,-0.15,1201
9,111/02/18,4553946,134582512,29.25,29.65,29.25,29.45,-0.05,2331
8,111/02/17,10304210,303425512,29.2,29.55,29.1,29.5,0.45,3276
7,111/02/16,1878732,54639978,29.15,29.2,29.0,29.05,0.05,1283
6,111/02/15,2651093,76880338,28.85,29.1,28.8,29.0,0.0,1846
5,111/02/14,2281248,65920069,29.1,29.1,28.75,29.0,-0.15,1400
4,111/02/11,1819411,52933665,29.0,29.2,29.0,29.15,-0.05,988
3,111/02/10,2750921,79964064,29.15,29.2,28.9,29.2,0.05,1437
2,111/02/09,4616959,133491417,28.65,29.15,28.6,29.15,0.55,2678
1,111/02/08,4691078,134257291,28.55,28.75,28.45,28.6,0.2,2469
0,111/02/07,6187939,175612721,28.4,28.6,28.15,28.4,-0.05,3366
17,111/01/26,3232262,91558759,28.15,28.45,28.15,28.45,0.3,1666
16,111/01/25,7973018,224250276,28.25,28.3,28.0,28.15,-0.3,4243
15,111/01/24,4593051,130067633,28.5,28.55,28.2,28.45,-0.1,2505
14,111/01/21,7624718,217689680,28.75,28.8,28.45,28.55,-0.3,4120
13,111/01/20,4124166,118768686,28.8,28.95,28.7,28.85,0.05,2157
12,111/01/19,10019861,288895030,29.1,29.15,28.65,28.8,-0.35,4920
11,111/01/18,3857446,112104409,29.05,29.15,28.95,29.15,0.05,1772
10,111/01/17,3208541,93393010,29.15,29.25,29.05,29.1,-0.15,1579
9,111/01/14,2175595,63625294,29.3,29.4,29.15,29.25,-0.2,1403
8,111/01/13,2289376,67264939,29.35,29.45,29.3,29.45,0.1,1368
7,111/01/12,1591713,46600565,29.35,29.35,29.2,29.35,0.0,1184
6,111/01/11,2341721,68539301,29.2,29.35,29.1,29.35,0.15,1289
5,111/01/10,2419718,70677599,29.3,29.3,29.1,29.2,-0.15,1320
4,111/01/07,2559080,74949922,29.4,29.4,29.2,29.35,-0.05,1405
3,111/01/06,2409334,70716457,29.25,29.4,29.25,29.4,0.1,1429
2,111/01/05,2161372,63496044,29.35,29.5,29.25,29.3,-0.05,1091
1,111/01/04,2667146,78109554,29.35,29.4,29.25,29.35,-0.05,4732
0,111/01/03,2350986,69156692,29.6,29.6,29.25,29.4,-0.2,1282
21,110/12/30,2433592,71965971,29.6,29.6,29.5,29.6,0.0,1127
20,110/12/29,2687576,79516049,29.6,29.7,29.4,29.6,0.0,1185
19,110/12/28,4423308,130762564,29.5,29.65,29.4,29.6,0.15,1675
18,110/12/27,2225493,65329343,29.35,29.45,29.25,29.45,0.05,941
17,110/12/24,2094555,61504996,29.45,29.45,29.3,29.4,0.05,873
16,110/12/23,1987553,58381311,29.45,29.45,29.3,29.35,0.0,851
15,110/12/22,1720847,50543348,29.4,29.45,29.25,29.35,0.0,779
14,110/12/21,2166820,63506211,29.3,29.4,29.15,29.35,0.05,876
13,110/12/20,2512778,73413484,29.2,29.3,29.15,29.3,0.15,1113
12,110/12/17,8450928,247071614,29.4,29.6,29.1,29.15,-0.3,2567
11,110/12/16,4631258,135802364,29.2,29.45,29.15,29.45,0.3,2047
10,110/12/15,4371317,127647102,29.25,29.3,29.15,29.15,-0.15,2048
9,110/12/14,5096253,149522096,29.45,29.5,29.25,29.3,-0.2,2477
8,110/12/13,5015291,148371951,29.8,29.85,29.5,29.5,-0.25,2440
7,110/12/10,4044788,120528750,29.9,29.95,29.65,29.75,-0.15,1871
6,110/12/09,3757049,112248578,29.85,29.95,29.8,29.9,0.15,2069
5,110/12/08,3374300,100241338,29.85,29.85,29.6,29.75,0.1,1910
4,110/12/07,3179568,93920822,29.55,29.7,29.45,29.65,0.1,1916
3,110/12/06,3846849,113590002,29.65,29.65,29.3,29.55,-0.1,1926
2,110/12/03,3529588,104959475,29.9,29.9,29.65,29.65,-0.25,1962
1,110/12/02,5158141,153291512,29.65,29.9,29.55,29.9,0.0,2775
0,110/12/01,4259772,126884254,29.5,29.95,29.5,29.9,0.25,2147
21,110/11/30,17187946,512133195,29.6,30.2,29.45,29.65,0.15,3946
20,110/11/29,7689497,227492859,29.6,29.8,29.3,29.5,-0.55,3473
19,110/11/26,11626253,351151988,30.6,30.7,29.95,30.05,-0.55,5479
18,110/11/25,17721661,538605054,30.1,30.7,30.1,30.6,0.65,7226
17,110/11/24,6512870,194598587,29.7,30.0,29.6,29.95,0.35,3084
16,110/11/23,4747693,141065021,29.8,29.8,29.6,29.6,-0.1,2188
15,110/11/22,6452465,191235729,29.5,29.8,29.4,29.7,0.3,2642
14,110/11/19,7206017,212907902,29.5,29.75,29.4,29.4,0.05,3116
13,110/11/18,6365646,186185535,29.25,29.35,29.15,29.35,0.15,2848
12,110/11/17,9405238,274387943,29.15,29.3,29.05,29.2,0.05,2615
11,110/11/16,3594147,104643856,29.1,29.2,29.05,29.15,0.0,1975
10,110/11/15,3820505,111253407,29.2,29.25,29.05,29.15,-0.05,2011
9,110/11/12,1967408,57329121,29.2,29.3,29.1,29.2,0.0,1246
8,110/11/11,2681425,78235868,29.25,29.3,29.1,29.2,-0.05,1489
7,110/11/10,2938000,85898623,29.2,29.35,29.15,29.25,-0.1,1739
6,110/11/09,7774253,227495332,29.15,29.4,29.0,29.35,0.2,4956
5,110/11/08,4336167,126072535,29.05,29.15,28.95,29.15,0.1,2355
4,110/11/05,2886007,83489252,28.95,29.05,28.8,29.05,0.05,2095
3,110/11/04,4157722,120465748,29.0,29.1,28.9,29.0,0.0,2232
2,110/11/03,3269354,94805991,29.0,29.1,28.95,29.0,0.05,2124
1,110/11/02,4806156,139387460,29.0,29.2,28.9,28.95,-0.05,2375
0,110/11/01,2657409,77172407,29.15,29.2,29.0,29.0,-0.05,1526
19,110/10/29,5399068,156407455,29.05,29.1,28.8,29.05,0.0,2381
18,110/10/28,2757820,80078369,29.1,29.15,29.0,29.05,-0.05,1579
17,110/10/27,2471581,71949190,29.15,29.25,29.05,29.1,-0.15,1418
16,110/10/26,2658398,77798790,29.25,29.35,29.1,29.25,0.0,1395
