,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
20,110/12/29,1299445,739731684,572.0,575.0,566.0,569.0,-3.0,1440
19,110/12/28,1955838,1118545363,579.0,579.0,569.0,572.0,-4.0,2141
18,110/12/27,3223227,1857476717,570.0,582.0,568.0,576.0,9.0,2776
17,110/12/24,2681846,1536423607,578.0,582.0,566.0,567.0,-6.0,2595
16,110/12/23,4928111,2853600900,576.0,588.0,572.0,573.0,2.0,4296
15,110/12/22,2573068,1475192505,581.0,582.0,570.0,571.0,-6.0,2333
14,110/12/21,2243755,1284081007,568.0,577.0,562.0,577.0,12.0,2134
13,110/12/20,2893483,1642191139,565.0,577.0,559.0,565.0,0.0,3023
12,110/12/17,3171971,1803338630,569.0,579.0,561.0,565.0,-7.0,3141
11,110/12/16,4386671,2523932646,582.0,589.0,566.0,572.0,-3.0,4290
10,110/12/15,5059809,2861681180,558.0,577.0,551.0,575.0,19.0,4451
9,110/12/14,4647748,2592983903,568.0,572.0,551.0,556.0,-18.0,5125
8,110/12/13,3199707,1837342271,577.0,581.0,570.0,574.0,2.0,2911
7,110/12/10,4379617,2515726397,583.0,585.0,570.0,572.0,-14.0,4764
6,110/12/09,3278055,1931298259,594.0,601.0,580.0,586.0,1.0,2890
5,110/12/08,4015566,2385451781,597.0,601.0,585.0,585.0,-1.0,3406
4,110/12/07,4633266,2725749955,590.0,595.0,581.0,586.0,5.0,4234
3,110/12/06,5424378,3191192584,597.0,602.0,581.0,581.0,-20.0,5819
2,110/12/03,4346681,2610794552,600.0,608.0,590.0,601.0,11.0,4032
1,110/12/02,7245199,4370332921,612.0,621.0,590.0,590.0,-18.0,7150
0,110/12/01,6343967,3886619446,628.0,628.0,607.0,608.0,-18.0,8128
21,110/11/30,10196760,6290021397,593.0,631.0,591.0,626.0,42.0,10430
20,110/11/29,5547881,3234326261,582.0,590.0,573.0,584.0,-1.0,5484
19,110/11/26,9798582,5732768202,585.0,597.0,572.0,585.0,6.0,9470
18,110/11/25,5805099,3344837270,571.0,583.0,565.0,579.0,13.0,5125
17,110/11/24,7953876,4539529314,558.0,582.0,557.0,566.0,8.0,7342
16,110/11/23,3287134,1823996356,551.0,560.0,548.0,558.0,-3.0,2845
15,110/11/22,3098657,1716696702,548.0,562.0,540.0,561.0,13.0,2897
14,110/11/19,3710165,2045033077,552.0,558.0,545.0,548.0,0.0,3210
13,110/11/18,5357197,2949688372,562.0,564.0,543.0,548.0,-12.0,5148
12,110/11/17,4151032,2323666729,563.0,570.0,555.0,560.0,-1.0,3796
11,110/11/16,5798451,3259838346,571.0,574.0,551.0,561.0,-1.0,5191
10,110/11/15,8544782,4905157203,580.0,591.0,561.0,562.0,-12.0,7550
9,110/11/12,8930937,5166728395,582.0,589.0,570.0,574.0,-2.0,8019
8,110/11/11,9978065,5647758628,551.0,580.0,547.0,576.0,21.0,8551
7,110/11/10,7696344,4221716471,542.0,555.0,538.0,555.0,13.0,6837
6,110/11/09,6396296,3488460827,542.0,553.0,538.0,542.0,6.0,5421
5,110/11/08,6470204,3498204006,550.0,553.0,534.0,536.0,-22.0,6267
4,110/11/05,9174821,5001335266,535.0,558.0,529.0,558.0,23.0,8590
3,110/11/04,10367768,5643366263,549.0,554.0,535.0,535.0,5.0,9686
2,110/11/03,8720253,4528247015,531.0,536.0,508.0,530.0,4.0,7473
1,110/11/02,13370244,7103210131,523.0,549.0,514.0,526.0,12.0,12575
0,110/11/01,12075827,6228959493,520.0,532.0,499.0,514.0,23.5,10025
19,110/10/29,11418225,5492331285,470.0,496.5,463.5,490.5,25.0,9444
18,110/10/28,7573987,3556140311,476.0,481.0,462.0,465.5,-5.0,6459
17,110/10/27,16075920,7474563696,454.0,472.0,452.0,470.5,30.0,12498
16,110/10/26,8111734,3637020270,450.5,463.5,437.0,440.5,-1.5,6623
15,110/10/25,6216879,2749504594,440.5,450.0,433.5,442.0,1.5,6075
14,110/10/22,9743845,4308655642,440.0,449.0,433.0,440.5,10.5,7685
13,110/10/21,8883357,3908636070,450.0,454.0,426.0,430.0,-26.5,7614
12,110/10/20,12253568,5512668594,447.5,456.5,441.5,456.5,6.0,9539
11,110/10/19,12259395,5419177730,424.0,452.0,423.0,450.5,38.5,10699
10,110/10/18,7397195,3064100462,418.0,422.0,404.5,412.0,-1.5,5687
9,110/10/15,8841956,3647953500,408.0,422.5,402.5,413.5,21.0,7412
8,110/10/14,8577082,3411528389,401.5,409.5,388.5,392.5,-0.5,6897
7,110/10/13,9321629,3763919570,423.5,426.0,392.0,393.0,-25.5,8340
6,110/10/12,5498682,2335746927,424.0,436.5,418.0,418.5,-11.5,4498
5,110/10/08,7892957,3415647321,434.5,443.0,423.0,430.0,-1.0,6468
4,110/10/07,9162863,3945315765,418.0,442.0,418.0,431.0,24.0,7719
3,110/10/06,7062718,2943045578,428.0,432.0,406.0,407.0,-18.0,6183
2,110/10/05,11868532,4884515819,392.0,426.5,389.0,425.0,23.5,9241
1,110/10/04,7547237,3138519029,433.5,435.5,401.5,401.5,-21.5,6485
0,110/10/01,7448659,3187803641,430.0,438.5,415.0,423.0,-12.0,6262
19,110/09/30,11956916,5143858548,425.0,440.0,413.0,435.0,16.0,9392
18,110/09/29,11419272,4946570803,443.5,454.0,417.5,419.0,-44.0,10666
17,110/09/28,6916179,3123066648,451.0,464.5,442.0,463.0,2.0,5830
16,110/09/27,6452017,3014916138,470.0,480.0,457.5,461.0,-12.0,5938
15,110/09/24,8187284,3881000263,468.0,484.0,463.0,473.0,3.5,7142
14,110/09/23,6494502,3000644068,452.5,469.5,451.0,469.5,26.5,6135
13,110/09/22,4411299,1969099673,445.0,453.5,440.0,443.0,-17.0,3981
12,110/09/17,5525133,2509132141,450.0,460.0,444.0,460.0,11.0,4869
11,110/09/16,8055318,3673285595,454.0,463.0,447.5,449.0,0.5,7521
10,110/09/15,6136123,2711715877,443.0,448.5,434.0,448.5,4.5,5156
9,110/09/14,5619563,2478735988,431.5,446.0,431.0,444.0,10.0,5005
8,110/09/13,3650121,1570128695,426.5,436.0,425.0,434.0,1.0,2963
7,110/09/10,4819714,2053566672,420.0,433.0,416.0,433.0,12.5,4279
6,110/09/09,5444606,2269425381,407.0,422.0,405.0,420.5,10.5,4552
5,110/09/08,10507229,4375229981,435.0,435.0,407.0,410.0,-28.5,9114
4,110/09/07,10513775,4614074451,447.5,451.0,428.5,438.5,-15.0,8599
3,110/09/06,15846367,7028867539,429.5,456.0,426.5,453.5,26.5,13307
2,110/09/03,6615895,2802146670,418.5,429.0,418.0,427.0,14.0,5680
1,110/09/02,7367394,3104623257,423.0,433.0,413.0,413.0,-13.0,6140
0,110/09/01,7028390,2977333193,423.5,430.5,416.0,426.0,4.5,6082
21,110/08/31,5966058,2497169402,417.0,424.5,413.5,421.5,+1.00,4739
20,110/08/30,12242037,5132955000,419.5,428.0,410.0,420.5,+7.50,10279
19,110/08/27,16231780,6512444583,377.0,415.0,375.5,413.0,+33.50,14257
18,110/08/26,5382452,2054403403,391.0,393.0,377.5,379.5,-8.00,4588
17,110/08/25,11118846,4278892626,377.0,394.0,375.0,387.5,+18.00,8729
16,110/08/24,7764824,2928487110,392.0,394.5,367.5,369.5,-17.50,6361
15,110/08/23,6969228,2659329154,375.5,387.0,374.5,387.0,+22.00,5359
14,110/08/20,7021676,2577693289,363.5,377.0,355.5,365.0,+5.00,5791
13,110/08/19,5375585,1965250352,368.0,373.0,360.0,360.0,-13.50,4536
12,110/08/18,10363690,3733670270,348.5,374.0,343.0,373.5,+21.50,8391
11,110/08/17,7182120,2609508435,379.0,380.0,351.0,352.0,-23.50,6347
10,110/08/16,7736507,2899786991,380.0,388.0,365.0,375.5,-4.50,6485
9,110/08/13,8785086,3386077689,394.5,395.5,380.0,380.0,-20.50,7562
8,110/08/12,4785460,1890327383,385.5,402.0,385.0,400.5,+15.50,3901
7,110/08/11,5462798,2135581301,400.0,400.0,383.5,385.0,-16.00,5013
6,110/08/10,4455515,1790733419,403.5,410.0,396.0,401.0,-1.50,3713
5,110/08/09,7263294,3001235565,416.0,426.0,402.5,402.5,-13.50,5917
4,110/08/06,6035517,2474859944,408.0,418.0,399.5,416.0,+1.50,5454
3,110/08/05,9517784,3904765598,400.0,417.5,394.5,414.5,+18.50,8155
2,110/08/04,14836385,6078690030,411.0,427.0,396.0,396.0,X0.00,11689
1,110/08/03,5583336,2237296838,394.5,408.0,392.0,405.5,+16.00,4321
0,110/08/02,3638668,1428563938,405.5,406.0,387.5,389.5,-7.50,2985
21,110/07/30,5668884,2290796297,420.0,421.0,392.0,397.0,-19.0,4781
20,110/07/29,12201747,5003443693,398.0,420.5,395.5,416.0,32.5,9460
19,110/07/28,9295174,3514943446,377.0,392.0,360.0,383.5,8.0,7450
18,110/07/27,6918551,2607957259,388.5,392.5,369.0,375.5,-10.0,5647
17,110/07/26,8132237,3136547638,392.5,397.0,378.5,385.5,-6.0,7212
16,110/07/23,8427471,3407908999,430.0,430.0,389.0,391.5,-36.0,8358
15,110/07/22,4669268,1977688010,418.0,428.5,416.0,427.5,18.5,3597
14,110/07/21,5306993,2210571533,425.0,430.0,408.0,409.0,-9.5,4100
13,110/07/20,4253134,1798460799,420.0,429.5,416.5,418.5,-1.5,3870
12,110/07/19,5475393,2329327198,430.0,436.5,420.0,420.0,-16.0,4577
11,110/07/16,5960345,2548279885,419.5,436.0,415.0,436.0,16.5,4782
10,110/07/15,6720680,2836162984,433.0,433.0,415.5,419.5,-14.5,5934
9,110/07/14,5241816,2256306596,424.0,436.0,423.0,434.0,14.0,4302
8,110/07/13,5508473,2367628473,436.0,443.0,412.5,420.0,-8.0,4739
7,110/07/12,5408082,2310852094,430.0,439.5,419.5,428.0,10.0,4308
6,110/07/09,6787209,2861691860,416.0,434.0,409.0,418.0,-1.0,5693
5,110/07/08,11855545,5082160964,426.0,445.0,414.0,419.0,-5.5,10194
4,110/07/07,10531756,4483737356,412.0,439.0,410.0,424.5,17.0,9047
3,110/07/06,6024439,2452502923,413.5,416.0,397.0,407.5,1.5,5118
2,110/07/05,7128030,2864667685,397.0,412.0,388.0,406.0,14.5,5926
1,110/07/02,4430109,1722181553,382.0,395.0,379.0,391.5,12.5,3851
0,110/07/01,3982311,1520279694,390.5,392.5,375.0,379.0,-10.5,3726
20,110/06/30,3905984,1512105293,391.5,393.0,381.0,389.5,0.5,3286
19,110/06/29,3635357,1414855629,390.5,394.0,383.0,389.0,1.5,3147
18,110/06/28,4685808,1834173700,395.0,401.5,385.0,387.5,-5.5,4355
17,110/06/25,7245313,2888663745,410.5,413.5,390.0,393.0,-9.5,6306
16,110/06/24,12022299,4872101097,396.0,417.0,396.0,402.5,8.5,9372
15,110/06/23,11148117,4404462647,390.5,401.0,388.0,394.0,7.0,8965
14,110/06/22,16696295,6324719512,366.0,394.0,365.0,387.0,28.5,12743
13,110/06/21,9851610,3590747453,361.5,374.0,357.5,358.5,-1.0,7365
12,110/06/18,7687119,2764496352,355.5,364.5,351.0,359.5,5.0,5773
11,110/06/17,7296173,2534840234,342.0,354.5,338.0,354.5,14.0,5666
10,110/06/16,5490363,1901645699,347.0,355.0,340.0,340.5,-6.5,4557
9,110/06/15,3171984,1104974483,351.0,352.5,345.5,347.0,1.5,2390
8,110/06/11,7617069,2660314901,353.0,357.5,343.5,345.5,-3.0,5986
7,110/06/10,11266642,4000916643,363.0,365.0,348.5,348.5,-13.0,9230
6,110/06/09,13962216,5021936451,353.0,366.0,351.5,361.5,11.5,10905
5,110/06/08,11124309,3951383424,352.0,363.5,348.0,350.0,-2.0,9062
4,110/06/07,19441881,6794333959,344.0,365.0,337.0,352.0,11.0,15318
3,110/06/04,14805420,4997119598,337.0,345.5,329.5,341.0,5.5,10992
2,110/06/03,19056101,6344215220,328.5,340.5,325.0,335.5,16.0,14522
1,110/06/02,6665314,2155090010,330.0,333.5,315.0,319.5,-6.5,5684
0,110/06/01,9086015,2993489750,334.0,336.5,325.0,326.0,-4.5,7075
20,110/05/31,16023113,5263090856,316.0,338.0,315.0,330.5,17.5,12347
19,110/05/28,8007406,2535070038,322.0,323.0,313.0,313.0,-5.0,6483
18,110/05/27,8926675,2800248325,317.5,318.0,307.0,318.0,0.0,6410
17,110/05/26,9176723,2947392437,327.0,331.0,315.0,318.0,-5.0,7218
16,110/05/25,13806973,4539273972,327.0,333.5,323.0,323.0,0.5,10733
15,110/05/24,11295402,3573158716,311.0,322.5,309.0,322.5,7.5,8662
14,110/05/21,15128535,4675063264,300.0,316.5,297.5,315.0,23.0,11913
13,110/05/20,8053826,2404491848,303.5,309.5,291.5,292.0,-11.5,6750
12,110/05/19,9744469,3011440509,307.5,317.5,302.0,303.5,-6.5,7531
11,110/05/18,20447752,6391606535,321.0,321.0,305.0,310.0,8.0,15606
10,110/05/17,22107407,6521291122,280.0,303.0,276.5,302.0,12.0,16715
9,110/05/14,18387698,5443221780,290.0,305.0,286.5,290.0,6.5,13609
8,110/05/13,17643914,4894108690,263.5,287.0,256.0,283.5,15.0,13079
7,110/05/12,25328491,6904307273,282.5,295.0,252.0,268.5,-11.0,18556
6,110/05/11,12857969,3691344576,296.0,302.0,276.5,279.5,-27.5,10973
5,110/05/10,8703525,2732486733,323.0,325.0,306.0,307.0,-11.0,8369
4,110/05/07,11910517,3717440247,309.0,318.0,303.5,318.0,13.0,9330
3,110/05/06,12497980,3779428173,294.5,312.0,290.0,305.0,16.0,10249
2,110/05/05,13523158,4109108861,314.0,318.0,287.5,289.0,-19.0,11390
1,110/05/04,15601133,4742752931,305.0,312.0,290.5,308.0,9.5,12020
0,110/05/03,6898724,2100147656,318.5,318.5,298.5,298.5,-20.0,6497
18,110/04/29,7720448,2456134349,317.0,323.0,313.5,318.5,2.5,5759
17,110/04/28,13159527,4182729774,310.0,324.0,307.0,316.0,8.5,10416
16,110/04/27,10439638,3194011504,309.0,313.0,298.5,307.5,2.0,8956
15,110/04/26,15168561,4745074654,328.0,329.5,304.0,305.5,-19.0,13873
14,110/04/23,6451960,2083055458,320.0,325.5,316.5,324.5,9.0,5178
13,110/04/22,8802315,2834970555,322.5,329.5,315.5,315.5,-0.5,7275
12,110/04/21,6985614,2233683790,321.5,327.5,316.0,316.0,-4.5,5888
11,110/04/20,8072223,2576053711,322.0,326.0,314.0,320.5,1.0,7015
10,110/04/19,8492599,2747197755,335.0,335.0,316.0,319.5,-13.0,7755
9,110/04/16,9930629,3318845606,340.5,340.5,329.0,332.5,-9.0,8540
8,110/04/15,13199802,4381932308,322.0,343.5,319.0,341.5,26.0,11466
7,110/04/14,11469241,3628487609,324.0,328.5,302.5,315.5,-4.5,8960
6,110/04/13,6930257,2259247575,326.0,334.5,319.0,320.0,-3.0,5905
5,110/04/12,5982470,1958868627,335.0,337.5,323.0,323.0,-11.5,5844
4,110/04/09,7616449,2559049312,333.0,342.5,331.5,334.5,2.0,6494
3,110/04/08,7357041,2455431180,342.0,342.0,331.0,332.5,-8.0,7107
2,110/04/07,10108588,3472620240,354.0,355.0,339.0,340.5,-10.5,8961
1,110/04/06,8154164,2885445077,359.0,360.0,350.0,351.0,-0.5,6664
0,110/04/01,14491143,5163290203,360.0,366.5,348.0,351.5,-2.5,11522
21,110/03/31,12222435,4298298848,356.5,360.0,347.5,354.0,-2.0,9574
20,110/03/30,17593850,6145250393,340.0,356.0,337.0,356.0,24.0,14087
19,110/03/29,8117615,2732480957,339.5,344.5,331.0,332.0,-3.5,6565
18,110/03/26,11306732,3753743325,327.0,339.0,323.0,335.5,17.5,9194
17,110/03/25,14908287,4949192791,333.0,350.0,317.5,318.0,-8.0,12361
16,110/03/24,17488917,5683780255,309.0,333.0,309.0,326.0,20.5,13866
15,110/03/23,18109793,5787529423,310.0,332.5,302.0,305.5,-1.0,14726
14,110/03/22,6689266,2040743994,306.0,308.5,301.0,306.5,-0.5,5192
13,110/03/19,16509325,5032825809,312.5,312.5,299.0,307.0,-5.5,10697
12,110/03/18,18090116,5598448065,304.5,313.0,303.0,312.5,13.5,14560
11,110/03/17,9595799,2863129069,295.0,302.0,293.5,299.0,5.5,7496
10,110/03/16,6377582,1886248849,299.5,300.0,293.0,293.5,-2.5,5013
9,110/03/15,8110501,2397694951,295.0,298.5,291.5,296.0,4.0,6255
8,110/03/12,18302166,5434169257,296.0,303.5,289.5,292.0,-1.0,14479
7,110/03/11,14892621,4288811521,285.5,293.0,283.0,293.0,9.5,10832
6,110/03/10,20288168,5733783917,279.0,288.0,277.5,283.5,10.0,15380
5,110/03/09,21105451,5825788590,280.5,283.5,270.0,273.5,-6.0,16435
4,110/03/08,26263993,7722780831,301.0,306.5,279.0,279.5,-15.5,20238
3,110/03/05,30870525,8822518337,274.0,298.5,268.5,295.0,16.5,22674
2,110/03/04,14724903,4126663813,281.0,285.0,276.0,278.5,-2.0,11427
1,110/03/03,20265524,5697950826,293.5,297.0,272.5,280.5,-10.5,16263
0,110/03/02,16836078,5065122304,311.5,314.0,289.0,291.0,-8.0,13334
21,110/03/31,12222435,4298298848,356.5,360.0,347.5,354.0,-2.0,9574
20,110/03/30,17593850,6145250393,340.0,356.0,337.0,356.0,24.0,14087
19,110/03/29,8117615,2732480957,339.5,344.5,331.0,332.0,-3.5,6565
18,110/03/26,11306732,3753743325,327.0,339.0,323.0,335.5,17.5,9194
17,110/03/25,14908287,4949192791,333.0,350.0,317.5,318.0,-8.0,12361
16,110/03/24,17488917,5683780255,309.0,333.0,309.0,326.0,20.5,13866
15,110/03/23,18109793,5787529423,310.0,332.5,302.0,305.5,-1.0,14726
14,110/03/22,6689266,2040743994,306.0,308.5,301.0,306.5,-0.5,5192
13,110/03/19,16509325,5032825809,312.5,312.5,299.0,307.0,-5.5,10697
12,110/03/18,18090116,5598448065,304.5,313.0,303.0,312.5,13.5,14560
11,110/03/17,9595799,2863129069,295.0,302.0,293.5,299.0,5.5,7496
10,110/03/16,6377582,1886248849,299.5,300.0,293.0,293.5,-2.5,5013
