,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
20,110/12/29,3109971,238564370,76.9,77.0,76.1,76.6,-0.1,2516
19,110/12/28,6473885,496078430,76.9,77.0,76.0,76.7,0.1,4801
18,110/12/27,4538580,346545886,76.2,76.7,75.7,76.6,0.9,2560
17,110/12/24,6947685,529643460,77.0,77.0,75.6,75.7,-0.2,4363
16,110/12/23,11620562,885183866,77.4,77.5,75.8,75.9,-0.6,9252
15,110/12/22,28364017,2216898050,79.5,79.9,76.3,76.5,-0.3,17919
14,110/12/21,17953537,1389171051,78.1,78.4,76.6,76.8,0.9,9433
13,110/12/20,13804112,1058467636,76.3,78.3,75.5,75.9,0.2,8001
12,110/12/17,5809323,438662580,75.1,76.2,74.6,75.7,-0.3,3660
11,110/12/16,11018113,836707650,76.9,77.5,75.0,76.0,0.0,8081
10,110/12/15,5946520,451313719,74.8,76.4,74.8,76.0,1.2,5340
9,110/12/14,9243857,697453503,76.0,76.3,74.8,74.8,-1.8,8557
8,110/12/13,7049563,546867080,78.5,78.7,76.6,76.6,-1.2,5779
7,110/12/10,9219625,716719746,77.2,78.3,76.5,77.8,0.3,5331
6,110/12/09,9625382,745593722,77.0,78.0,76.4,77.5,0.6,5946
5,110/12/08,15424120,1197116739,78.5,78.8,76.9,76.9,-0.6,9830
4,110/12/07,9369207,724670279,77.9,78.1,76.6,77.5,0.0,6707
3,110/12/06,14634371,1136667129,79.0,79.1,77.1,77.5,-1.3,15681
2,110/12/03,33711626,2641373769,76.9,79.2,76.9,78.8,-1.0,24939
1,110/12/02,61010333,4841440345,78.3,80.0,78.3,79.8,3.8,34668
0,110/12/01,20047171,1515989604,74.1,76.0,74.1,76.0,1.8,11489
21,110/11/30,31197078,2354990053,74.1,76.4,74.1,74.2,0.9,16853
20,110/11/29,13003517,949896845,72.1,74.4,71.1,73.3,-0.2,8061
19,110/11/26,14556914,1078151543,74.5,75.2,73.1,73.5,-0.9,8537
18,110/11/25,10299651,771256112,76.0,76.0,74.3,74.4,-1.0,7276
17,110/11/24,12709513,959470374,75.0,76.2,74.4,75.4,-0.3,7514
16,110/11/23,31620097,2386040874,76.0,76.6,73.7,75.7,0.3,17965
15,110/11/22,50484857,3774299847,71.7,76.0,71.5,75.4,5.8,24243
14,110/11/19,11671357,818632031,71.8,72.0,69.5,69.6,-2.0,7543
