,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
18,110/12/27,2473983,157901512,63.9,64.0,63.5,64.0,0.1,1878
17,110/12/24,2390572,152636209,64.0,64.0,63.6,63.9,0.0,1219
16,110/12/23,3186775,203429294,63.9,64.0,63.6,63.9,0.1,1685
15,110/12/22,2267273,144488253,63.8,63.9,63.5,63.8,0.0,827
14,110/12/21,3961480,252030463,63.4,63.9,63.2,63.8,0.3,1690
13,110/12/20,2877713,181882847,62.8,63.6,62.8,63.5,0.0,1651
12,110/12/17,3104411,196590169,63.0,63.5,62.9,63.5,0.2,1454
11,110/12/16,3193054,201806404,63.1,63.4,62.9,63.3,0.4,1437
10,110/12/15,3184296,200391262,63.0,63.2,62.6,62.9,0.0,1406
9,110/12/14,2532225,158595193,62.4,63.0,62.3,62.9,0.4,1245
8,110/12/13,3325767,208073101,62.6,62.9,62.4,62.5,-0.1,3015
7,110/12/10,1716054,107623993,63.0,63.2,62.6,62.6,-0.6,3212
6,110/12/09,2010802,126679274,63.2,63.2,62.8,63.2,0.3,1345
5,110/12/08,2617797,165074152,63.6,63.6,62.8,62.9,-0.7,2829
4,110/12/07,3157674,199035573,62.6,63.6,62.4,63.6,1.0,2341
3,110/12/06,2216562,138784565,62.5,62.9,62.3,62.6,-0.3,2513
2,110/12/03,1924780,121063004,63.0,63.3,62.5,62.9,-0.5,1974
1,110/12/02,3751703,236660988,62.9,63.4,62.3,63.4,0.5,2185
0,110/12/01,4113518,257115769,61.8,63.2,61.7,62.9,1.4,2450
21,110/11/30,12652624,782849042,62.4,63.1,61.5,61.5,-1.0,3505
20,110/11/29,2220287,139020228,62.6,62.9,62.4,62.5,-0.6,2206
19,110/11/26,2566109,161298433,63.1,63.4,62.5,63.1,-0.3,2922
18,110/11/25,2025955,128507768,63.9,63.9,63.1,63.4,-0.5,1455
17,110/11/24,1566359,99679692,63.6,64.1,63.4,63.9,0.1,1371
16,110/11/23,3376356,214399921,63.1,64.0,62.8,63.8,0.4,1885
15,110/11/22,2881060,183123144,64.3,64.3,63.3,63.4,-0.7,1529
14,110/11/19,2120672,135899738,64.8,64.9,63.8,64.1,-0.9,1713
13,110/11/18,3572846,231226010,64.4,65.0,64.3,65.0,0.6,2158
12,110/11/17,3800778,244724298,64.2,64.6,64.1,64.4,0.1,2542
11,110/11/16,4325566,277101072,64.0,64.3,63.9,64.3,0.5,2309
10,110/11/15,3714360,237362566,64.1,64.1,63.7,63.8,-0.3,2373
9,110/11/12,3767598,240916187,64.2,64.3,63.6,64.1,-0.1,2303
8,110/11/11,5653838,360386086,63.4,64.2,63.2,64.2,0.8,2934
7,110/11/10,4287463,270498418,63.0,63.4,62.7,63.4,0.4,2182
6,110/11/09,3591174,225385757,62.6,63.0,62.4,63.0,0.4,1789
5,110/11/08,4917935,306885320,62.0,62.6,62.0,62.6,0.6,2139
4,110/11/05,4460442,276082451,61.8,62.0,61.6,62.0,0.3,2169
3,110/11/04,2560068,157911862,61.7,61.8,61.4,61.7,0.1,1571
2,110/11/03,2358038,144778152,61.3,61.6,61.2,61.6,-0.1,1119
1,110/11/02,3243119,199381434,61.6,61.7,61.3,61.7,0.2,1543
0,110/11/01,1986906,121802393,61.3,61.5,61.2,61.5,0.3,1228
19,110/10/29,7158340,438776221,61.4,61.7,61.1,61.2,-0.4,1815
18,110/10/28,1678772,103203998,61.6,61.6,61.3,61.6,0.1,1119
17,110/10/27,3078578,189288794,61.5,61.7,61.3,61.5,-0.2,1774
16,110/10/26,3117426,191909567,61.6,61.7,61.3,61.7,0.1,2149
15,110/10/25,1655888,101824262,61.1,61.6,61.1,61.6,0.1,784
14,110/10/22,1301821,79821271,61.3,61.5,61.1,61.5,0.4,771
13,110/10/21,3713158,227244527,61.5,61.6,61.1,61.1,-0.4,1159
12,110/10/20,2495560,152748337,61.2,61.5,61.0,61.5,0.3,1564
11,110/10/19,2264927,139078807,61.6,61.7,61.1,61.2,-0.3,1311
10,110/10/18,2416816,148580144,61.3,61.7,61.1,61.5,-0.1,1711
9,110/10/15,2166405,133221895,61.4,61.7,61.2,61.6,0.3,1425
8,110/10/14,1533788,94121829,61.5,61.8,61.2,61.3,-0.2,976
7,110/10/13,2075138,127419289,61.8,61.8,61.1,61.5,-0.1,1347
6,110/10/12,3237564,198216603,61.1,61.6,60.7,61.6,-0.1,1715
5,110/10/08,1293485,79537951,61.7,61.7,61.3,61.7,0.0,1005
4,110/10/07,3118762,192515807,61.6,62.0,61.5,61.7,0.2,2308
3,110/10/06,4281231,262681079,61.2,61.6,61.0,61.5,0.2,2294
2,110/10/05,1914726,117188891,61.3,61.4,61.0,61.3,0.1,1305
1,110/10/04,2476635,151538035,61.4,61.4,61.0,61.2,-0.1,1468
0,110/10/01,3221818,196538640,61.0,61.3,60.8,61.3,-0.2,1726
19,110/09/30,2351356,144051002,61.0,61.5,60.9,61.5,0.0,1095
18,110/09/29,3612866,221010975,61.4,61.5,60.8,61.5,0.0,2223
17,110/09/28,3179922,194754471,61.1,61.5,60.8,61.5,0.2,1952
16,110/09/27,2560985,156747672,61.3,61.3,61.0,61.3,0.0,1686
15,110/09/24,2742828,167674371,61.2,61.3,60.9,61.3,0.2,1255
14,110/09/23,3337146,203351200,60.9,61.1,60.5,61.1,0.3,1555
13,110/09/22,4302268,260663222,60.5,61.0,60.4,60.8,0.2,2510
12,110/09/17,7521555,457237448,60.9,61.3,60.6,60.6,-0.3,2518
11,110/09/16,2754559,167681863,61.1,61.2,60.7,60.9,-0.1,1469
10,110/09/15,2618081,159412762,60.9,61.2,60.7,61.0,0.2,1750
9,110/09/14,1889766,114789268,60.9,60.9,60.6,60.8,-0.1,1421
8,110/09/13,2260559,137269295,60.8,60.9,60.5,60.9,0.3,1098
7,110/09/10,2578319,156136999,60.5,60.8,60.3,60.6,0.2,1812
6,110/09/09,3263439,197158765,60.6,60.6,60.3,60.4,-0.5,1936
5,110/09/08,2765272,167525728,60.8,60.9,60.4,60.9,0.2,1991
4,110/09/07,2284726,138313922,60.5,60.7,60.4,60.7,0.1,1288
3,110/09/06,3303837,200237974,60.8,60.8,60.5,60.6,0.0,1657
2,110/09/03,3924865,237581698,60.7,60.8,60.4,60.6,0.0,2034
1,110/09/02,3545030,214632968,60.7,60.9,60.4,60.6,-0.1,2683
0,110/09/01,4395578,267799854,61.3,61.5,60.7,60.7,-0.9,2287
21,110/08/31,5864459,359850411,61.3,61.6,60.9,61.6,0.2,1569
20,110/08/30,3424408,209246864,61.2,61.4,60.8,61.4,0.2,2118
19,110/08/27,2445611,149447780,61.1,61.2,60.9,61.2,0.1,1428
18,110/08/26,3301797,200895522,60.8,61.1,60.6,61.1,0.3,1638
17,110/08/25,3259549,197789961,60.9,60.9,60.5,60.8,-0.1,1764
16,110/08/24,3517538,212936164,60.4,60.9,60.3,60.9,0.5,1569
15,110/08/23,3837329,231238332,60.4,60.6,60.0,60.4,0.0,2252
14,110/08/20,4974847,300031922,60.7,60.7,60.1,60.4,-0.3,2634
13,110/08/19,7250470,438627290,60.8,61.0,60.2,60.7,-0.5,4091
12,110/08/18,5084043,309242373,61.0,61.2,60.6,61.2,0.1,3205
11,110/08/17,5398818,329081846,61.1,61.4,60.6,61.1,0.0,2788
10,110/08/16,4114528,250851866,61.1,61.4,60.7,61.1,-0.3,2192
9,110/08/13,2219943,135970666,61.4,61.5,61.0,61.4,0.0,1244
