,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1,111/03/02,8131723,831562344,102.5,103.0,101.5,102.5,-0.5,3950
0,111/03/01,16494690,1688659809,100.5,103.5,100.0,103.0,3.7,7521
14,111/02/25,20163734,2011076598,101.0,101.0,99.1,99.3,-0.4,8747
13,111/02/24,25869789,2586719854,100.0,101.5,99.1,99.7,-2.3,12773
12,111/02/23,12309510,1258069210,103.5,103.5,101.5,102.0,-1.0,5602
11,111/02/22,15371604,1581700515,103.5,105.0,102.0,103.0,-2.0,6220
10,111/02/21,11990686,1253075116,103.0,105.5,103.0,105.0,1.0,5516
9,111/02/18,12537011,1298928556,102.0,104.5,102.0,104.0,0.0,5101
8,111/02/17,14310087,1486336914,103.0,105.0,103.0,104.0,1.5,8017
7,111/02/16,15851176,1627569081,102.5,103.5,102.0,102.5,2.5,6391
6,111/02/15,8819311,884679878,100.5,101.0,99.8,100.0,0.0,4422
5,111/02/14,16199323,1622181926,101.0,101.0,99.8,100.0,-3.0,8437
4,111/02/11,33631329,3497201197,104.5,106.0,102.0,103.0,-0.5,12940
3,111/02/10,18157309,1877667514,103.5,104.5,102.5,103.5,1.5,6814
2,111/02/09,17134646,1739162820,101.0,102.5,100.0,102.0,2.0,7197
1,111/02/08,18352921,1834271508,99.6,101.0,99.3,100.0,0.0,6945
0,111/02/07,22852579,2292532135,100.5,102.5,99.1,100.0,1.2,9912
17,111/01/26,14082085,1394752283,98.9,99.7,98.6,98.8,-1.2,11394
16,111/01/25,23643224,2352103465,99.5,100.5,98.3,100.0,-1.5,13220
15,111/01/24,12239583,1245449197,101.0,103.0,100.5,101.5,0.0,6173
14,111/01/21,24833579,2536156907,104.0,104.5,101.0,101.5,-4.0,12875
13,111/01/20,9052864,951465783,104.0,106.0,103.5,105.5,0.5,3689
12,111/01/19,14161160,1492781818,106.0,107.0,104.5,105.0,-2.5,8122
11,111/01/18,13613301,1477219473,109.5,110.5,107.0,107.5,-0.5,6703
10,111/01/17,14083416,1509558843,106.5,108.5,106.0,108.0,2.5,6882
9,111/01/14,13436976,1412139877,105.5,106.0,104.0,105.5,0.5,5555
8,111/01/13,9893785,1041063409,107.0,107.0,104.0,105.0,-2.0,7098
7,111/01/12,8740831,934258890,107.0,107.5,106.5,107.0,0.5,4161
6,111/01/11,12542932,1336277458,107.0,107.5,105.5,106.5,0.5,4457
5,111/01/10,8353791,882063175,105.5,106.5,105.0,106.0,-0.5,4796
4,111/01/07,14917419,1593759531,109.5,110.0,105.0,106.5,-2.0,9630
3,111/01/06,18197295,1979848314,110.0,110.0,107.5,108.5,-2.5,13377
2,111/01/05,32174103,3520470284,107.0,112.0,106.5,111.0,4.0,18304
1,111/01/04,14057802,1499210557,106.0,107.5,105.5,107.0,1.5,6906
0,111/01/03,9976670,1060091862,107.0,107.5,105.0,105.5,-1.0,4314
21,110/12/30,7619542,809947244,106.0,107.0,105.5,106.5,0.5,4158
20,110/12/29,6550574,696758658,106.5,107.0,106.0,106.0,0.5,4160
19,110/12/28,7925423,838742795,106.5,106.5,105.5,105.5,0.5,4393
18,110/12/27,7274768,763105902,105.0,105.5,104.0,105.0,0.0,4489
17,110/12/24,10515224,1102694231,104.0,105.5,103.5,105.0,1.5,6856
16,110/12/23,10213398,1064194079,104.0,105.5,103.5,103.5,0.5,5276
15,110/12/22,4022820,414613453,103.0,103.5,102.5,103.0,1.0,2723
14,110/12/21,7894940,807311592,102.0,103.0,101.5,102.0,0.5,4014
13,110/12/20,7986258,812739604,102.0,103.0,101.0,101.5,-0.5,4298
12,110/12/17,17312447,1769129183,101.5,103.5,101.5,102.0,-1.5,5746
11,110/12/16,16479549,1689385803,103.0,103.5,101.0,103.5,2.0,7065
10,110/12/15,10867739,1107729402,102.0,102.5,101.5,101.5,-0.5,5008
9,110/12/14,11642615,1187736003,101.5,103.0,101.0,102.0,-0.5,5736
8,110/12/13,9928466,1021866658,104.0,104.5,102.0,102.5,-0.5,5963
7,110/12/10,13168212,1367650195,104.0,105.0,103.0,103.0,-1.5,7329
6,110/12/09,22312053,2334204231,105.0,105.5,104.0,104.5,-2.5,10477
5,110/12/08,18826875,2020415570,108.0,109.0,106.0,107.0,3.0,8594
4,110/12/07,16026710,1676180407,106.5,107.0,103.5,104.0,-2.0,9944
3,110/12/06,17670869,1882246474,108.5,108.5,106.0,106.0,-3.0,10342
2,110/12/03,26853221,2901553246,107.0,110.0,106.0,109.0,4.0,12647
1,110/12/02,20591668,2164804741,105.0,106.5,103.5,105.0,1.0,10349
0,110/12/01,14130066,1453835361,101.0,104.5,100.5,104.0,2.0,6361
21,110/11/30,18993936,1945471610,102.5,103.5,102.0,102.0,1.0,5314
20,110/11/29,11545585,1165568946,100.0,102.5,99.5,101.0,-0.5,6263
19,110/11/26,9638565,984851733,103.0,104.0,101.5,101.5,-2.5,5918
18,110/11/25,12612987,1299539751,103.5,105.0,102.0,104.0,1.0,7006
17,110/11/24,11944020,1237435755,104.5,105.5,103.0,103.0,-2.0,7058
16,110/11/23,11493858,1208600742,106.0,106.0,104.5,105.0,-1.5,5446
15,110/11/22,13156909,1405527112,106.5,107.5,106.0,106.5,0.5,5536
14,110/11/19,10475832,1114766136,107.0,107.5,105.5,106.0,0.0,5332
13,110/11/18,9890598,1047512901,106.5,106.5,105.5,106.0,-0.5,4958
12,110/11/17,10787077,1141934698,106.0,106.5,105.0,106.5,1.0,5946
11,110/11/16,11496955,1211726015,105.5,106.0,105.0,105.5,0.0,6156
10,110/11/15,11945094,1252137171,104.5,105.5,104.0,105.5,1.5,6643
9,110/11/12,18812060,1944061813,103.5,105.5,101.5,104.0,1.5,8014
8,110/11/11,17317318,1770012452,102.5,103.0,101.5,102.5,-1.5,8133
7,110/11/10,13722516,1421139316,104.5,105.0,103.0,104.0,-1.0,7854
6,110/11/09,27382778,2908049207,107.5,109.0,105.0,105.0,-0.5,14167
5,110/11/08,28893007,3025813312,104.0,106.0,103.0,105.5,5.8,17799
4,110/11/05,7521430,745670052,98.8,99.9,98.0,99.7,1.6,6049
3,110/11/04,6908121,681107585,99.1,99.5,98.1,98.1,-0.2,4331
2,110/11/03,8413769,826740226,99.1,99.3,97.6,98.3,-0.5,5529
1,110/11/02,10968225,1089828674,99.5,100.5,98.3,98.8,0.6,6981
0,110/11/01,15443891,1522824234,99.7,100.5,97.8,98.2,-1.6,9918
19,110/10/29,32184785,3245829755,103.5,103.5,99.8,99.8,0.0,15204
18,110/10/28,18235863,1814880121,97.3,101.5,97.0,99.8,2.6,11452
17,110/10/27,9221643,897717333,98.2,98.4,96.7,97.2,-0.8,5848
16,110/10/26,10079187,986306775,97.4,98.3,97.1,98.0,1.6,6046
15,110/10/25,11210985,1079690928,95.8,97.3,95.2,96.4,0.4,7097
14,110/10/22,13217493,1262210274,95.5,96.3,94.8,96.0,0.1,7099
13,110/10/21,14987827,1449982974,96.9,98.1,95.7,95.9,-1.8,9654
12,110/10/20,15091737,1480134092,99.8,99.8,97.3,97.7,-0.7,9073
11,110/10/19,16938605,1648759403,95.5,98.5,95.0,98.4,3.8,8429
10,110/10/18,15287930,1453996874,96.2,96.7,94.3,94.6,-1.6,8490
9,110/10/15,22876456,2191493543,96.0,96.5,94.9,96.2,2.6,13161
8,110/10/14,17878811,1665367905,93.6,94.0,92.5,93.6,1.2,11533
7,110/10/13,22465548,2088583625,94.6,95.1,92.2,92.4,-1.1,11580
6,110/10/12,36890871,3470663495,95.2,95.3,93.5,93.5,-2.7,19505
5,110/10/08,32699962,3188822819,98.8,99.3,95.4,96.2,-4.8,20615
