,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
18,110/12/27,4242349,71231181,16.75,16.85,16.7,16.8,0.05,1236
17,110/12/24,4102377,68730516,16.75,16.8,16.7,16.75,0.05,1100
16,110/12/23,5014130,83725007,16.7,16.75,16.65,16.7,0.05,1678
15,110/12/22,2891338,48225587,16.75,16.75,16.65,16.65,-0.05,1132
14,110/12/21,7527319,119076893,16.55,16.7,16.55,16.7,0.15,1634
13,110/12/20,8452001,140089325,16.6,16.65,16.55,16.55,-0.05,2041
12,110/12/17,18201071,302576151,16.7,16.8,16.55,16.6,-0.1,2595
11,110/12/16,5834280,97173311,16.7,16.7,16.6,16.7,0.05,1507
10,110/12/15,10096266,168203335,16.7,16.75,16.55,16.65,-0.1,2511
9,110/12/14,7917949,132422033,16.75,16.8,16.65,16.75,-0.05,2033
8,110/12/13,7804609,131526408,16.85,17.0,16.8,16.8,0.0,2425
7,110/12/10,3994560,67330195,16.85,16.9,16.8,16.8,-0.1,1631
6,110/12/09,5516819,93036034,16.85,16.95,16.8,16.9,0.05,1944
5,110/12/08,7407480,124579315,16.85,16.9,16.75,16.85,0.15,2200
4,110/12/07,6740482,112594834,16.7,16.8,16.6,16.7,0.0,2020
3,110/12/06,4505389,75230813,16.6,16.8,16.6,16.7,0.05,1466
2,110/12/03,5702372,95218068,16.65,16.8,16.6,16.65,0.1,1874
1,110/12/02,6257432,103632644,16.65,16.65,16.45,16.55,-0.1,1851
0,110/12/01,6671860,110758966,16.45,16.7,16.45,16.65,0.25,1710
21,110/11/30,27177022,449843065,16.7,16.8,16.4,16.4,-0.3,4475
20,110/11/29,6738429,112732712,16.75,16.8,16.65,16.7,-0.15,2208
19,110/11/26,9926363,168182725,17.1,17.15,16.85,16.85,-0.35,3288
18,110/11/25,3914269,67012537,17.15,17.2,17.05,17.2,0.1,1305
17,110/11/24,5351821,91612266,17.05,17.2,17.05,17.1,0.05,1397
16,110/11/23,5201736,88823890,17.15,17.15,17.05,17.05,-0.15,1860
15,110/11/22,5459777,93789361,17.25,17.3,17.1,17.2,-0.05,1421
14,110/11/19,9049705,155840366,17.35,17.4,17.1,17.25,-0.05,2361
13,110/11/18,15816470,272498684,17.0,17.35,16.95,17.3,0.3,4608
12,110/11/17,8118678,137465172,16.8,17.0,16.8,17.0,0.1,2843
11,110/11/16,4906564,82732845,16.85,16.9,16.8,16.9,0.0,1760
10,110/11/15,8219125,138479925,16.85,16.9,16.75,16.9,0.1,2359
9,110/11/12,8654189,144554629,16.55,16.8,16.55,16.8,0.25,2019
8,110/11/11,2555018,42375988,16.6,16.65,16.55,16.55,-0.05,933
7,110/11/10,2508107,41722202,16.65,16.7,16.6,16.6,-0.1,1107
6,110/11/09,3975037,66060820,16.6,16.7,16.5,16.7,0.1,1302
5,110/11/08,4247414,70382714,16.6,16.6,16.5,16.6,0.0,1438
4,110/11/05,3977963,65729464,16.5,16.6,16.45,16.6,0.15,1482
3,110/11/04,2976023,49134087,16.6,16.6,16.45,16.45,-0.1,1140
2,110/11/03,3122150,51601664,16.5,16.55,16.45,16.55,0.0,977
1,110/11/02,5695824,94123307,16.5,16.6,16.45,16.55,0.1,1448
0,110/11/01,3530371,58086066,16.5,16.55,16.4,16.45,0.05,1148
19,110/10/29,19095976,313454996,16.5,16.55,16.4,16.4,-0.1,1506
18,110/10/28,2916682,48236805,16.55,16.65,16.5,16.5,-0.05,857
17,110/10/27,4752148,78835035,16.6,16.65,16.55,16.55,-0.15,1155
16,110/10/26,18676346,311283720,16.55,16.7,16.5,16.7,0.2,2181
15,110/10/25,3751243,61941141,16.5,16.6,16.45,16.5,0.0,1087
14,110/10/22,3383527,55961935,16.55,16.6,16.5,16.5,-0.1,878
13,110/10/21,7690214,127586448,16.55,16.65,16.5,16.6,0.05,1366
12,110/10/20,3812784,63055018,16.55,16.6,16.5,16.55,0.05,1274
11,110/10/19,6930682,114686187,16.55,16.6,16.5,16.5,-0.05,1363
10,110/10/18,4073091,67288534,16.45,16.55,16.45,16.55,0.05,1093
9,110/10/15,5834512,95889963,16.4,16.5,16.35,16.5,0.1,2445
8,110/10/14,3286335,53883303,16.4,16.45,16.35,16.4,0.05,1080
7,110/10/13,3029415,49460179,16.35,16.4,16.3,16.35,0.05,1212
6,110/10/12,8406475,136822905,16.3,16.35,16.2,16.3,0.0,1807
5,110/10/08,3740274,61118493,16.35,16.4,16.3,16.3,-0.1,1073
4,110/10/07,6003914,98290489,16.35,16.4,16.3,16.4,0.15,1559
3,110/10/06,9684939,157577859,16.4,16.4,16.2,16.25,-0.1,2738
2,110/10/05,5278900,86075882,16.3,16.4,16.25,16.35,-0.05,1824
1,110/10/04,5524361,90208590,16.35,16.4,16.25,16.4,0.15,1519
0,110/10/01,8824903,143511816,16.35,16.4,16.2,16.25,-0.2,2596
19,110/09/30,4830120,79079671,16.25,16.45,16.25,16.45,0.15,1806
18,110/09/29,9099299,148179693,16.3,16.4,16.2,16.3,-0.1,3488
17,110/09/28,3920840,64231706,16.35,16.45,16.3,16.4,0.0,1056
16,110/09/27,5371140,88346518,16.45,16.5,16.4,16.4,-0.05,1493
15,110/09/24,2649427,43575686,16.45,16.5,16.4,16.45,0.05,885
14,110/09/23,3197996,52242209,16.25,16.4,16.25,16.4,0.25,948
13,110/09/22,12821180,207683539,16.3,16.3,16.1,16.15,-0.25,4336
12,110/09/17,17956712,295933295,16.65,16.65,16.4,16.4,-0.3,2303
11,110/09/16,7269566,120821231,16.6,16.7,16.55,16.7,0.1,1425
10,110/09/15,8364598,139095846,16.65,16.7,16.6,16.6,-0.05,2918
9,110/09/14,5206175,86654153,16.6,16.7,16.6,16.65,0.05,1346
8,110/09/13,3251404,53983585,16.6,16.65,16.55,16.6,0.0,826
7,110/09/10,2706329,44934090,16.5,16.65,16.5,16.6,0.1,657
6,110/09/09,4515579,74652359,16.55,16.6,16.5,16.5,-0.1,1153
5,110/09/08,4938010,81980911,16.7,16.7,16.5,16.6,-0.1,1854
4,110/09/07,5109233,85096323,16.65,16.7,16.6,16.7,0.05,1000
3,110/09/06,5840699,97375859,16.7,16.7,16.6,16.65,-0.05,1118
2,110/09/03,9357790,155437274,16.55,16.7,16.55,16.7,0.2,1560
1,110/09/02,5846721,96858711,16.6,16.65,16.5,16.5,-0.1,1154
0,110/09/01,8982943,148779295,16.5,16.65,16.45,16.6,0.1,1724
21,110/08/31,20948509,346884981,16.45,16.6,16.4,16.5,X0.00,3595
20,110/08/30,18609726,316270960,16.95,17.05,16.9,17.0,+0.05,3880
19,110/08/27,17412662,293660608,16.7,16.95,16.65,16.95,+0.30,3427
18,110/08/26,5710089,95276863,16.7,16.75,16.65,16.65,-0.05,1723
17,110/08/25,4680131,78389634,16.75,16.8,16.7,16.7,-0.05,1502
16,110/08/24,5932979,99301567,16.75,16.8,16.65,16.75,+0.05,1490
15,110/08/23,3967966,66135166,16.65,16.75,16.6,16.7,+0.15,831
14,110/08/20,4797559,79619743,16.7,16.7,16.5,16.55,-0.05,1677
13,110/08/19,7952959,132296220,16.75,16.85,16.55,16.6,-0.20,2249
12,110/08/18,5644920,94363025,16.65,16.8,16.6,16.8,+0.10,2256
11,110/08/17,6444718,107561484,16.65,16.75,16.6,16.7,+0.10,1743
10,110/08/16,5879674,98099604,16.7,16.8,16.6,16.6,-0.20,1650
9,110/08/13,3815806,63928649,16.8,16.8,16.7,16.8,-0.05,1240
8,110/08/12,4425142,74453286,16.85,16.9,16.75,16.85,0.00,1297
7,110/08/11,5120663,86122858,16.7,16.9,16.7,16.85,+0.10,1623
6,110/08/10,5282157,88331696,16.7,16.8,16.65,16.75,+0.05,1393
5,110/08/09,4245542,71052263,16.8,16.8,16.65,16.7,-0.15,1287
4,110/08/06,4464138,75061227,16.8,16.9,16.75,16.85,0.00,1255
3,110/08/05,10434493,175367600,16.7,16.9,16.65,16.85,+0.10,2881
2,110/08/04,3487231,58223475,16.6,16.75,16.6,16.75,+0.10,1064
1,110/08/03,3274138,54402064,16.6,16.7,16.55,16.65,-0.10,922
0,110/08/02,8815727,146812255,16.6,16.75,16.55,16.75,+0.20,1988
21,110/07/30,6841100,112846344,16.55,16.6,16.4,16.55,-0.1,1272
20,110/07/29,5661905,93792530,16.55,16.65,16.45,16.65,0.15,1706
19,110/07/28,6376114,104870466,16.5,16.55,16.35,16.5,-0.05,2477
18,110/07/27,4204592,69534551,16.65,16.65,16.45,16.55,-0.05,1289
17,110/07/26,6191692,103024428,16.7,16.75,16.55,16.6,-0.1,1761
16,110/07/23,7945996,132519011,16.65,16.75,16.6,16.7,0.05,2153
15,110/07/22,12755071,211271051,16.45,16.65,16.4,16.65,0.25,2726
14,110/07/21,12191197,199650126,16.4,16.45,16.25,16.4,0.0,4321
13,110/07/20,6323710,103693708,16.35,16.45,16.3,16.4,-0.1,1920
12,110/07/19,15241504,249433863,16.4,16.5,16.2,16.5,0.1,2758
11,110/07/16,9340078,153276505,16.4,16.45,16.35,16.4,-0.05,3968
10,110/07/15,6202792,101834506,16.4,16.45,16.4,16.45,0.05,1669
9,110/07/14,6622048,108517707,16.35,16.45,16.35,16.4,0.05,1655
8,110/07/13,11930138,195007892,16.25,16.4,16.25,16.35,0.1,2534
7,110/07/12,12230358,198129921,16.2,16.25,16.15,16.25,0.05,2064
6,110/07/09,14064886,226478430,16.1,16.2,16.05,16.2,0.0,3694
5,110/07/08,8083199,130571882,16.2,16.2,16.1,16.2,0.0,2462
4,110/07/07,10134921,163845140,16.2,16.2,16.1,16.2,0.0,3805
3,110/07/06,5913844,95658623,16.15,16.2,16.1,16.2,0.1,1726
2,110/07/05,8422509,135840302,16.15,16.2,16.1,16.1,0.0,2377
1,110/07/02,6860760,110594565,16.2,16.2,16.1,16.1,0.0,1812
0,110/07/01,10501174,169085244,16.1,16.2,16.0,16.1,-0.05,2846
20,110/06/30,7224763,116699406,16.15,16.2,16.1,16.15,0.05,2253
19,110/06/29,7377127,118971217,16.15,16.2,16.1,16.1,-0.05,2710
18,110/06/28,7073179,114395195,16.15,16.2,16.1,16.15,0.05,2169
17,110/06/25,13883604,224040851,16.15,16.2,16.1,16.1,0.0,3054
16,110/06/24,6329820,102108927,16.1,16.2,16.05,16.1,0.0,1657
15,110/06/23,11472866,185019360,16.05,16.2,16.05,16.1,0.05,3853
14,110/06/22,10684666,171479149,16.05,16.15,15.95,16.05,0.1,2713
13,110/06/21,14994741,239687813,15.95,16.05,15.95,15.95,0.0,3607
12,110/06/18,36259552,579777414,16.1,16.15,15.95,15.95,-0.15,7410
11,110/06/17,11604528,186715417,16.05,16.15,16.0,16.1,0.0,3653
10,110/06/16,36227481,584548801,16.25,16.25,16.05,16.1,-0.15,10663
9,110/06/15,25368604,412141717,16.25,16.3,16.2,16.25,-0.05,6404
8,110/06/11,78945365,1285386514,16.15,16.35,16.0,16.3,-0.4,9973
7,110/06/10,214045269,3351709391,16.75,16.85,16.65,16.7,-0.05,1841
6,110/06/09,8387759,140618219,16.75,16.8,16.7,16.75,0.0,1813
5,110/06/08,10762737,180008065,16.85,16.85,16.7,16.75,0.05,1623
4,110/06/07,18704455,313350664,16.8,16.9,16.65,16.7,-0.2,2076
3,110/06/04,15869293,266761182,16.85,16.9,16.75,16.9,-0.05,2871
2,110/06/03,6132184,104033616,17.0,17.05,16.9,16.95,0.05,1498
1,110/06/02,9557489,161449775,16.9,16.95,16.85,16.9,0.05,3099
0,110/06/01,5731707,96452243,16.9,16.9,16.75,16.85,0.0,1537
20,110/05/31,6889151,116181879,16.9,16.95,16.8,16.85,-0.05,1867
19,110/05/28,10107200,170532469,16.9,16.95,16.8,16.9,0.05,2887
18,110/05/27,83453106,1404037276,16.65,16.85,16.6,16.85,-0.05,5211
17,110/05/26,8229874,137429042,16.65,16.9,16.55,16.9,0.3,2679
16,110/05/25,8092457,134679239,16.6,16.7,16.55,16.6,-0.1,2428
15,110/05/24,9259201,153416295,16.65,16.7,16.45,16.7,0.05,2155
14,110/05/21,7956175,131904746,16.5,16.75,16.45,16.65,0.25,2426
13,110/05/20,11640945,191003344,16.45,16.5,16.35,16.4,-0.1,2766
12,110/05/19,8775949,144841403,16.55,16.65,16.4,16.5,-0.2,2681
11,110/05/18,11164212,185468593,16.35,16.8,16.35,16.7,0.35,2423
10,110/05/17,20912895,343446653,16.45,16.55,16.3,16.35,-0.4,3947
9,110/05/14,13668596,228657827,16.75,16.9,16.65,16.75,0.1,3807
8,110/05/13,21482478,360244081,17.0,17.0,16.65,16.65,-0.15,4817
7,110/05/12,39050516,667894441,17.5,17.85,16.5,16.8,-0.8,7061
6,110/05/11,9256835,164163619,17.95,17.95,17.55,17.6,-0.4,2652
5,110/05/10,12357772,221909202,17.75,18.05,17.75,18.0,0.15,2410
4,110/05/07,6298954,112183551,17.75,17.9,17.7,17.85,0.2,1367
3,110/05/06,10615892,183334754,17.6,17.8,17.6,17.65,0.05,1386
2,110/05/05,5969558,104856895,17.5,17.7,17.4,17.6,0.05,1340
1,110/05/04,15131694,266936700,17.65,17.9,17.45,17.55,-0.1,3751
0,110/05/03,11507388,204521482,17.9,17.9,17.65,17.65,-0.25,2418
18,110/04/29,6184942,110976671,18.0,18.0,17.9,17.9,-0.1,1409
17,110/04/28,5361931,96270397,17.9,18.0,17.9,18.0,0.0,1632
16,110/04/27,6289523,112992096,18.0,18.0,17.9,18.0,0.0,2058
15,110/04/26,11714712,210412418,17.95,18.0,17.85,18.0,0.0,4101
14,110/04/23,8127139,145781710,17.9,18.0,17.85,18.0,0.1,1866
13,110/04/22,11959508,214547930,18.0,18.0,17.9,17.9,-0.1,2508
12,110/04/21,9567936,171615113,17.9,18.0,17.85,18.0,-0.1,3614
11,110/04/20,14212416,256845660,18.2,18.3,17.9,18.1,-0.1,4124
10,110/04/19,21653421,391136330,17.85,18.2,17.8,18.2,0.4,6201
9,110/04/16,9125642,161850327,17.65,17.8,17.65,17.8,0.1,2704
8,110/04/15,7120970,125722899,17.6,17.7,17.55,17.7,0.15,2190
7,110/04/14,8410645,148205536,17.6,17.7,17.55,17.55,-0.05,1961
6,110/04/13,9747848,171770908,17.5,17.7,17.5,17.6,0.15,2687
