,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
16,110/12/23,1474972,844948393,579.0,584.0,567.0,572.0,-1.0,1867
15,110/12/22,891580,511046288,573.0,576.0,566.0,573.0,4.0,1065
14,110/12/21,1261964,715305772,558.0,574.0,556.0,569.0,16.0,1309
13,110/12/20,1587713,886139424,568.0,571.0,552.0,553.0,-14.0,2126
12,110/12/17,2036207,1154446786,568.0,575.0,562.0,567.0,-2.0,1579
11,110/12/16,1890380,1070300939,558.0,573.0,553.0,569.0,16.0,2037
10,110/12/15,1061404,583301509,545.0,555.0,541.0,553.0,8.0,1136
9,110/12/14,1200525,658403594,553.0,555.0,544.0,545.0,-11.0,1449
8,110/12/13,558094,310774485,558.0,561.0,552.0,556.0,2.0,659
7,110/12/10,960689,531457677,555.0,557.0,548.0,554.0,-4.0,1142
6,110/12/09,933952,525018940,565.0,570.0,558.0,558.0,-7.0,1156
5,110/12/08,2115250,1206190986,576.0,579.0,565.0,565.0,0.0,2071
4,110/12/07,3232341,1846518060,577.0,581.0,559.0,565.0,-12.0,4916
3,110/12/06,2992658,1713308076,560.0,580.0,558.0,577.0,22.0,4190
2,110/12/03,1266934,703562893,554.0,558.0,550.0,555.0,1.0,1340
1,110/12/02,1386008,766488932,549.0,558.0,549.0,554.0,5.0,1459
0,110/12/01,1447440,793464667,546.0,551.0,542.0,549.0,-6.0,1584
21,110/11/30,3557094,1949460207,545.0,555.0,537.0,555.0,19.0,2208
20,110/11/29,2135467,1135779051,528.0,540.0,521.0,536.0,2.0,2242
19,110/11/26,1719001,923832860,541.0,549.0,533.0,534.0,-10.0,1965
18,110/11/25,978715,534273711,544.0,553.0,540.0,544.0,2.0,1186
17,110/11/24,814559,442787697,544.0,547.0,538.0,542.0,-2.0,999
16,110/11/23,1870463,1015165367,543.0,547.0,535.0,544.0,-4.0,1933
15,110/11/22,733655,403265810,550.0,553.0,548.0,548.0,1.0,854
14,110/11/19,1180608,647317686,550.0,556.0,545.0,547.0,-2.0,1452
13,110/11/18,1130400,621250643,552.0,553.0,546.0,549.0,-1.0,1294
12,110/11/17,2222949,1225961845,550.0,560.0,545.0,550.0,1.0,2484
11,110/11/16,1666750,909699682,545.0,550.0,536.0,549.0,7.0,2055
10,110/11/15,2478562,1333977752,528.0,545.0,527.0,542.0,19.0,2749
9,110/11/12,1588836,832398705,526.0,530.0,518.0,523.0,1.0,1597
8,110/11/11,1389516,722417218,516.0,523.0,511.0,522.0,3.0,1361
7,110/11/10,2280196,1180983730,515.0,525.0,511.0,519.0,8.0,2104
6,110/11/09,2315809,1191154477,508.0,521.0,506.0,511.0,6.0,2457
5,110/11/08,1034362,519761535,502.0,505.0,497.5,505.0,5.5,1247
4,110/11/05,2757889,1370783312,488.0,504.0,488.0,499.5,14.0,2186
3,110/11/04,1555033,757885321,496.5,496.5,481.5,485.5,-4.0,1469
2,110/11/03,1511907,738214885,498.0,498.0,484.5,489.5,-2.0,1637
1,110/11/02,2250705,1118927630,503.0,505.0,491.0,491.5,-8.5,2132
0,110/11/01,2999833,1502223651,503.0,509.0,492.0,500.0,1.0,2569
19,110/10/29,2457121,1228504693,502.0,504.0,494.0,499.0,-1.0,2104
18,110/10/28,1965071,981014354,495.5,504.0,494.0,500.0,0.0,1843
17,110/10/27,2170934,1075151919,490.0,502.0,486.5,500.0,13.0,2095
16,110/10/26,3131851,1526907168,486.0,492.5,483.5,487.0,1.0,2108
15,110/10/25,3334422,1619337058,481.0,495.0,478.0,486.0,11.0,2953
14,110/10/22,1332722,632585443,475.0,478.0,469.0,475.0,1.0,1231
13,110/10/21,1917768,917130387,473.0,485.0,473.0,474.0,-1.0,1758
