,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
18,110/12/27,696669,706028191,990.0,1030.0,990.0,1025.0,41.0,999
17,110/12/24,420010,411152899,974.0,986.0,968.0,984.0,10.0,1206
16,110/12/23,806541,778789912,965.0,974.0,945.0,974.0,25.0,1276
15,110/12/22,591240,560827954,940.0,956.0,935.0,949.0,19.0,920
14,110/12/21,669852,624389958,931.0,938.0,926.0,930.0,-5.0,438
13,110/12/20,653913,609076356,937.0,941.0,917.0,935.0,5.0,1041
12,110/12/17,775379,717266061,909.0,930.0,902.0,930.0,20.0,621
11,110/12/16,536229,489103926,920.0,922.0,905.0,910.0,5.0,1545
10,110/12/15,348338,313713772,900.0,905.0,892.0,905.0,5.0,487
9,110/12/14,264161,236048504,890.0,900.0,883.0,900.0,4.0,891
8,110/12/13,254292,228469981,899.0,905.0,893.0,896.0,2.0,736
7,110/12/10,167338,149083574,897.0,897.0,884.0,894.0,-3.0,266
6,110/12/09,337620,302636469,901.0,901.0,888.0,897.0,-8.0,825
5,110/12/08,1249809,1117358442,888.0,905.0,881.0,905.0,29.0,1407
4,110/12/07,920002,806157314,856.0,885.0,856.0,876.0,32.0,1083
3,110/12/06,275449,233329942,856.0,860.0,840.0,844.0,-5.0,360
2,110/12/03,347609,295098244,845.0,856.0,840.0,849.0,9.0,414
1,110/12/02,387937,325160521,844.0,844.0,833.0,840.0,-13.0,925
0,110/12/01,485315,414220556,846.0,862.0,845.0,853.0,-2.0,643
21,110/11/30,852042,724042521,830.0,855.0,828.0,855.0,33.0,644
20,110/11/29,418142,342435608,805.0,830.0,805.0,822.0,3.0,481
19,110/11/26,643896,528096811,825.0,833.0,817.0,819.0,-14.0,766
18,110/11/25,306925,256381907,834.0,843.0,829.0,833.0,-3.0,396
17,110/11/24,298954,250467705,840.0,859.0,831.0,836.0,-10.0,616
16,110/11/23,497932,424991841,869.0,870.0,844.0,846.0,-14.0,959
15,110/11/22,488350,420197055,855.0,868.0,849.0,860.0,22.0,1477
14,110/11/19,547825,460752693,840.0,854.0,833.0,838.0,5.0,1195
13,110/11/18,656860,545320100,833.0,836.0,824.0,833.0,0.0,775
12,110/11/17,1246302,1030908207,806.0,835.0,806.0,833.0,18.0,1017
11,110/11/16,600922,488464925,807.0,818.0,798.0,815.0,8.0,752
10,110/11/15,981942,791607189,800.0,818.0,796.0,807.0,15.0,928
9,110/11/12,764709,608075002,794.0,810.0,785.0,792.0,10.0,1080
8,110/11/11,1817912,1403685391,756.0,785.0,754.0,782.0,32.0,1458
7,110/11/10,1431196,1076502153,752.0,761.0,749.0,750.0,-17.0,1696
6,110/11/09,3259978,2505526020,786.0,787.0,755.0,767.0,-32.0,2555
5,110/11/08,2926583,2306645766,786.0,806.0,776.0,799.0,-63.0,2901
4,110/11/05,592797,511448669,855.0,868.0,854.0,862.0,18.0,565
3,110/11/04,379884,321686214,842.0,855.0,841.0,844.0,4.0,491
2,110/11/03,817691,687400547,860.0,864.0,834.0,840.0,-11.0,384
1,110/11/02,728038,628674502,855.0,879.0,847.0,851.0,-4.0,911
0,110/11/01,649128,549919541,833.0,857.0,833.0,855.0,25.0,631
19,110/10/29,840352,701581670,840.0,850.0,824.0,830.0,-10.0,595
18,110/10/28,1093594,926173819,864.0,869.0,836.0,840.0,-29.0,1971
17,110/10/27,877613,756961986,832.0,873.0,832.0,869.0,33.0,1036
16,110/10/26,963954,801550709,824.0,843.0,816.0,836.0,21.0,930
15,110/10/25,1133746,931556361,823.0,843.0,814.0,815.0,-11.0,1064
14,110/10/22,1149109,952308895,831.0,850.0,819.0,826.0,-19.0,1324
13,110/10/21,727559,620558253,860.0,864.0,842.0,845.0,-4.0,1538
12,110/10/20,1344582,1142399722,839.0,868.0,832.0,849.0,-16.0,1524
11,110/10/19,612327,525409855,838.0,867.0,838.0,865.0,21.0,668
10,110/10/18,656074,557517114,846.0,866.0,837.0,844.0,-1.0,1027
9,110/10/15,624703,524521956,835.0,847.0,825.0,845.0,31.0,1730
8,110/10/14,692455,566451447,817.0,833.0,810.0,814.0,17.0,810
7,110/10/13,1776429,1433457465,782.0,825.0,782.0,797.0,20.0,1688
6,110/10/12,1086427,847869311,790.0,814.0,765.0,777.0,-39.0,1322
5,110/10/08,882832,717668090,812.0,829.0,794.0,816.0,12.0,1263
4,110/10/07,1183053,946234734,790.0,814.0,783.0,804.0,44.0,1451
3,110/10/06,1046884,805509190,773.0,787.0,760.0,760.0,-12.0,1047
2,110/10/05,1367960,1040259814,758.0,777.0,749.0,772.0,-11.0,1557
1,110/10/04,1163554,919195432,800.0,812.0,772.0,783.0,-7.0,1440
0,110/10/01,2405536,1951628162,862.0,862.0,789.0,790.0,-85.0,2609
19,110/09/30,1079153,953019974,888.0,910.0,872.0,875.0,-12.00,1025
18,110/09/29,1237534,1104151845,888.0,914.0,877.0,887.0,-18.00,1163
17,110/09/28,1318719,1179808217,890.0,909.0,878.0,905.0,+26.00,909
16,110/09/27,2220328,1961676990,936.0,937.0,857.0,879.0,-71.00,2486
15,110/09/24,1344103,1290661987,981.0,985.0,943.0,950.0,-30.00,1509
14,110/09/23,599160,590842595,975.0,1000.0,975.0,980.0,X0.00,768
13,110/09/22,1130762,1098460222,965.0,988.0,959.0,971.0,-9.00,1251
12,110/09/17,1027252,1006739833,957.0,992.0,957.0,980.0,+23.00,1562
11,110/09/16,948655,911223262,960.0,975.0,945.0,957.0,+3.00,1030
10,110/09/15,1254754,1171419148,888.0,956.0,884.0,954.0,+44.00,1326
9,110/09/14,770486,701201378,925.0,935.0,883.0,910.0,-4.00,803
8,110/09/13,618350,569042159,935.0,944.0,909.0,914.0,-13.00,599
