,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1,111/03/02,227649,864905560,3800.0,3875.0,3770.0,3780.0,-75.0,484
0,111/03/01,595901,2291695345,3800.0,3900.0,3765.0,3855.0,215.0,1131
14,111/02/25,357283,1305501070,3705.0,3745.0,3610.0,3640.0,-15.0,684
13,111/02/24,479164,1749748207,3580.0,3710.0,3580.0,3655.0,15.0,688
12,111/02/23,334674,1216079500,3600.0,3695.0,3560.0,3640.0,40.0,672
11,111/02/22,430932,1548213315,3700.0,3700.0,3520.0,3600.0,-100.0,1474
10,111/02/21,219369,822492340,3775.0,3840.0,3700.0,3700.0,-75.0,573
9,111/02/18,288203,1072646775,3700.0,3780.0,3650.0,3775.0,-5.0,595
8,111/02/17,290324,1104194080,3800.0,3860.0,3760.0,3780.0,-25.0,566
7,111/02/16,319325,1233553875,3865.0,3930.0,3800.0,3805.0,30.0,671
6,111/02/15,408021,1557076868,3775.0,3940.0,3750.0,3775.0,-50.0,835
5,111/02/14,440108,1645257250,3720.0,3835.0,3625.0,3825.0,-70.0,1199
4,111/02/11,435307,1708959180,3950.0,3985.0,3880.0,3895.0,-185.0,1347
3,111/02/10,690645,2809233680,4050.0,4160.0,3985.0,4080.0,170.0,1206
2,111/02/09,517472,2019027740,3945.0,3970.0,3840.0,3910.0,40.0,731
1,111/02/08,649635,2511211005,3795.0,3910.0,3795.0,3870.0,75.0,918
0,111/02/07,1369634,5246919138,3810.0,3915.0,3755.0,3795.0,165.0,1910
17,111/01/26,523128,1914448450,3625.0,3710.0,3550.0,3630.0,65.0,910
16,111/01/25,860670,3085086085,3645.0,3655.0,3545.0,3565.0,-150.0,1631
15,111/01/24,614001,2254984579,3675.0,3745.0,3570.0,3715.0,65.0,926
14,111/01/21,877985,3256479495,3775.0,3775.0,3640.0,3650.0,-150.0,1705
13,111/01/20,661556,2516215475,3800.0,3850.0,3765.0,3800.0,-20.0,1064
12,111/01/19,369912,1428586645,3855.0,3910.0,3755.0,3820.0,-80.0,1004
11,111/01/18,711346,2821452170,3975.0,4010.0,3870.0,3900.0,45.0,1216
10,111/01/17,574947,2217830290,3805.0,3895.0,3780.0,3855.0,5.0,942
9,111/01/14,1239173,4631068280,3860.0,3905.0,3675.0,3850.0,-50.0,2093
8,111/01/13,494688,1930603695,3900.0,3920.0,3880.0,3900.0,-15.0,935
7,111/01/12,787514,3113136047,4005.0,4060.0,3880.0,3915.0,-65.0,1321
6,111/01/11,873752,3543832235,4210.0,4295.0,3980.0,3980.0,-240.0,2568
5,111/01/10,495173,2062057455,4045.0,4285.0,4030.0,4220.0,-160.0,1383
4,111/01/07,525636,2314632309,4340.0,4550.0,4340.0,4380.0,-50.0,1009
3,111/01/06,519765,2360323813,4665.0,4720.0,4430.0,4430.0,-490.0,2437
2,111/01/05,285751,1389117710,4765.0,4955.0,4745.0,4920.0,120.0,519
1,111/01/04,378412,1843821775,5100.0,5100.0,4755.0,4800.0,-285.0,1125
0,111/01/03,217970,1117060905,5175.0,5235.0,5035.0,5085.0,60.0,390
21,110/12/30,194395,989598560,5070.0,5185.0,5025.0,5025.0,-85.0,415
20,110/12/29,116416,592794735,5050.0,5140.0,5000.0,5110.0,60.0,411
19,110/12/28,124276,625625100,5015.0,5080.0,4970.0,5050.0,20.0,365
18,110/12/27,232645,1161429085,4820.0,5035.0,4820.0,5030.0,230.0,658
17,110/12/24,166150,810840155,4865.0,4950.0,4800.0,4800.0,0.0,377
16,110/12/23,183092,883454000,4915.0,4925.0,4750.0,4800.0,-65.0,458
15,110/12/22,331154,1600579035,4895.0,4900.0,4710.0,4865.0,75.0,636
14,110/12/21,276267,1320397080,4650.0,4850.0,4650.0,4790.0,160.0,728
13,110/12/20,476482,2211004917,4550.0,4725.0,4530.0,4630.0,-55.0,689
12,110/12/17,515788,2399684230,4490.0,4710.0,4470.0,4685.0,135.0,990
11,110/12/16,560767,2539476515,4550.0,4595.0,4435.0,4550.0,165.0,887
10,110/12/15,282843,1229403520,4290.0,4385.0,4290.0,4385.0,120.0,447
9,110/12/14,423233,1821826208,4360.0,4495.0,4235.0,4265.0,-235.0,1022
8,110/12/13,327635,1472676580,4375.0,4575.0,4375.0,4500.0,130.0,580
7,110/12/10,134479,594888170,4455.0,4485.0,4370.0,4370.0,-120.0,396
6,110/12/09,370625,1658627270,4460.0,4505.0,4400.0,4490.0,105.0,670
5,110/12/08,821247,3598861563,4335.0,4455.0,4305.0,4385.0,180.0,1164
4,110/12/07,741622,3136557060,4400.0,4400.0,4140.0,4205.0,-215.0,1549
3,110/12/06,479561,2120436490,4460.0,4585.0,4310.0,4420.0,-125.0,1278
2,110/12/03,461047,2140838440,4850.0,4865.0,4545.0,4545.0,-290.0,1175
1,110/12/02,398871,1916003050,4655.0,4880.0,4655.0,4835.0,180.0,752
0,110/12/01,280403,1295722425,4725.0,4725.0,4535.0,4655.0,-35.0,494
21,110/11/30,543764,2520778590,4555.0,4690.0,4505.0,4690.0,220.0,937
20,110/11/29,296476,1336477595,4445.0,4650.0,4430.0,4470.0,25.0,656
19,110/11/26,244248,1087877500,4535.0,4535.0,4380.0,4445.0,-50.0,656
18,110/11/25,388463,1773407014,4570.0,4605.0,4485.0,4495.0,-55.0,607
17,110/11/24,528375,2426490365,4710.0,4770.0,4520.0,4550.0,-155.0,1078
16,110/11/23,506890,2403691425,4815.0,4895.0,4690.0,4705.0,-295.0,1131
15,110/11/22,318645,1618466300,5200.0,5245.0,5000.0,5000.0,-250.0,731
14,110/11/19,246032,1294288670,5300.0,5345.0,5190.0,5250.0,-55.0,419
13,110/11/18,304660,1613725015,5340.0,5395.0,5240.0,5305.0,-45.0,539
12,110/11/17,355357,1896280222,5400.0,5490.0,5265.0,5350.0,25.0,505
11,110/11/16,420972,2220893875,5150.0,5400.0,5150.0,5325.0,185.0,725
10,110/11/15,238295,1231297890,5180.0,5300.0,5090.0,5140.0,-10.0,420
9,110/11/12,353352,1820656050,4970.0,5300.0,4970.0,5150.0,265.0,633
8,110/11/11,161985,788759695,4795.0,4895.0,4755.0,4885.0,5.0,220
7,110/11/10,133223,645931855,4830.0,4890.0,4780.0,4880.0,60.0,244
6,110/11/09,176209,849269385,4785.0,4890.0,4720.0,4820.0,120.0,289
5,110/11/08,303181,1462163600,4960.0,5010.0,4700.0,4700.0,-250.0,640
4,110/11/05,322963,1590680719,4785.0,4995.0,4760.0,4950.0,165.0,539
3,110/11/04,236086,1130989945,4710.0,4910.0,4635.0,4785.0,100.0,418
2,110/11/03,203737,948533195,4650.0,4700.0,4580.0,4685.0,35.0,461
1,110/11/02,174687,810547275,4580.0,4710.0,4560.0,4650.0,65.0,347
0,110/11/01,223661,1011290175,4560.0,4590.0,4420.0,4585.0,5.0,418
19,110/10/29,282942,1296738550,4590.0,4670.0,4510.0,4580.0,65.0,473
18,110/10/28,399780,1806138735,4560.0,4570.0,4430.0,4515.0,85.0,568
17,110/10/27,388376,1716228685,4560.0,4560.0,4355.0,4430.0,-15.0,413
16,110/10/26,673431,2984238790,4305.0,4470.0,4305.0,4445.0,150.0,674
15,110/10/25,200339,852328215,4280.0,4315.0,4170.0,4295.0,15.0,453
14,110/10/22,305369,1289861845,4100.0,4280.0,4080.0,4280.0,180.0,593
13,110/10/21,189067,775532325,4135.0,4135.0,4060.0,4100.0,0.0,261
12,110/10/20,189594,774748015,4100.0,4125.0,4040.0,4100.0,-25.0,267
11,110/10/19,283868,1161815103,4010.0,4155.0,4010.0,4125.0,125.0,435
