,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
1,111/03/02,4568440,372244868,81.2,81.8,80.8,81.7,0.6,2333
0,111/03/01,5787647,467962509,80.0,81.2,79.5,81.1,2.1,2819
14,111/02/25,6172220,487773562,79.5,79.6,78.7,79.0,-0.3,2828
13,111/02/24,6736633,533981860,79.8,79.8,79.0,79.3,-0.8,4069
12,111/02/23,1839983,147186018,79.7,80.2,79.6,80.1,0.2,1198
11,111/02/22,5501122,437888388,80.0,80.2,79.2,79.9,-0.8,3369
10,111/02/21,2285231,183429348,80.0,80.7,79.8,80.7,0.1,1758
9,111/02/18,1752814,141684253,80.6,81.3,80.6,80.6,-0.5,1470
8,111/02/17,4207401,341088636,80.8,81.3,80.6,81.1,0.5,1745
7,111/02/16,2111542,169657421,80.1,80.7,79.9,80.6,1.0,1447
6,111/02/15,1820800,145512643,80.0,80.2,79.6,79.6,-0.6,1226
5,111/02/14,2585181,207041831,80.4,80.4,79.8,80.2,-0.4,1573
4,111/02/11,2015470,162047534,80.6,80.6,80.1,80.6,-0.1,1422
3,111/02/10,2125764,170654576,79.9,80.7,79.9,80.7,0.3,1448
2,111/02/09,2124997,170319355,80.0,80.4,79.8,80.4,0.5,1503
1,111/02/08,2341509,187335468,80.2,80.3,79.8,79.9,-0.2,1353
0,111/02/07,4670152,371344371,78.3,80.2,78.2,80.1,1.3,3099
17,111/01/26,2371480,186834144,78.6,79.0,78.4,78.8,0.2,1964
16,111/01/25,6643694,519209257,78.5,78.8,77.7,78.6,-0.4,4238
15,111/01/24,2488370,196753659,79.2,79.5,78.6,79.0,-0.2,1650
14,111/01/21,4888733,387352936,79.5,80.0,79.0,79.2,-0.6,3056
13,111/01/20,2995347,239125233,79.9,80.4,79.5,79.8,-0.1,1827
12,111/01/19,3554447,284604237,80.3,80.5,79.8,79.9,-0.6,2660
11,111/01/18,1375968,110887379,80.7,81.0,80.4,80.5,0.0,1064
10,111/01/17,2014058,162264466,80.9,81.0,80.4,80.5,-0.4,1139
9,111/01/14,2059607,166761142,81.4,81.5,80.8,80.9,-0.8,2253
8,111/01/13,3624992,295917030,81.4,81.9,81.3,81.7,0.3,2688
7,111/01/12,3553932,288068434,81.2,81.4,80.8,81.4,0.2,2384
6,111/01/11,3867415,312819520,80.5,81.2,80.4,81.2,0.3,2027
5,111/01/10,1638550,132208171,80.8,80.9,80.4,80.9,0.3,1429
4,111/01/07,2568000,207679993,81.1,81.4,80.6,80.6,-0.4,2346
3,111/01/06,2853860,230704143,81.0,81.0,80.5,81.0,0.1,1595
2,111/01/05,2128875,171258588,80.1,80.9,79.7,80.9,0.4,1201
1,111/01/04,1755983,141402794,80.6,81.0,80.3,80.5,-0.3,1708
0,111/01/03,2352685,190355152,81.0,81.5,80.5,80.8,0.0,2291
21,110/12/30,2474741,200517060,80.9,81.5,80.7,80.8,-0.2,1553
20,110/12/29,1855981,150294904,81.3,81.3,80.8,81.0,0.0,1429
19,110/12/28,1928234,155787330,80.7,81.0,80.5,81.0,0.3,1510
