,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
16,110/12/23,6594318,164863680,25.0,25.1,24.9,25.0,0.05,2635
15,110/12/22,3818800,95147322,25.0,25.0,24.85,24.95,-0.05,2384
14,110/12/21,7527238,187670721,24.8,25.0,24.8,25.0,0.2,2506
13,110/12/20,10533498,261702466,25.0,25.0,24.75,24.8,-0.3,5369
12,110/12/17,12520519,313241247,24.9,25.1,24.85,25.1,0.2,4090
11,110/12/16,10182113,252592261,24.75,24.95,24.65,24.9,0.25,4840
10,110/12/15,9402845,232030995,24.75,24.85,24.6,24.65,-0.05,5113
9,110/12/14,17568962,434363571,24.85,24.85,24.65,24.7,-0.3,7909
8,110/12/13,16843750,424304288,25.2,25.45,25.0,25.0,-0.1,7127
7,110/12/10,16705362,418172742,25.15,25.15,24.9,25.1,-0.1,9093
6,110/12/09,26458778,660399203,24.85,25.2,24.7,25.2,0.5,10406
5,110/12/08,16172014,396493008,24.4,24.7,24.3,24.7,0.4,6188
4,110/12/07,13186502,318973914,24.2,24.3,24.05,24.3,0.1,4851
3,110/12/06,11681551,282105794,24.05,24.25,24.0,24.2,0.15,4530
2,110/12/03,16553054,397640316,23.85,24.1,23.8,24.05,0.15,4888
1,110/12/02,10018936,238456503,23.85,23.9,23.7,23.9,0.05,3376
0,110/12/01,9333106,221902172,23.55,23.9,23.55,23.85,0.1,4489
21,110/11/30,38772619,919063788,23.6,23.75,23.4,23.75,0.2,5487
20,110/11/29,12585435,296600580,23.4,23.75,23.4,23.55,0.0,4681
19,110/11/26,16233694,383848372,23.75,23.85,23.5,23.55,-0.35,8045
18,110/11/25,8156305,194221982,23.75,23.9,23.7,23.9,0.2,3730
17,110/11/24,10243301,243152381,23.6,23.95,23.6,23.7,0.2,3681
16,110/11/23,9563006,225249770,23.7,23.75,23.45,23.5,-0.2,4340
15,110/11/22,7274541,171791550,23.6,23.75,23.55,23.7,0.05,3238
14,110/11/19,11672376,276933908,23.9,23.95,23.6,23.65,-0.25,5979
13,110/11/18,13960576,332768961,23.65,23.95,23.6,23.9,0.25,4279
12,110/11/17,8609730,202963178,23.45,23.65,23.4,23.65,0.2,3719
11,110/11/16,13864555,325448420,23.55,23.55,23.35,23.45,-0.1,5903
10,110/11/15,16038678,379294075,23.45,23.85,23.45,23.55,0.1,5536
9,110/11/12,11322915,264553152,23.2,23.45,23.2,23.45,0.25,4257
8,110/11/11,6305749,145882893,23.1,23.2,23.05,23.2,0.1,2773
7,110/11/10,18061672,414681003,23.0,23.1,22.95,23.1,0.1,4465
6,110/11/09,10964219,250959345,22.8,23.0,22.75,23.0,0.2,3638
5,110/11/08,11758325,267993363,22.85,22.9,22.75,22.8,0.0,2598
4,110/11/05,4324436,98251240,22.7,22.8,22.65,22.8,0.05,2294
3,110/11/04,5638977,128262989,22.8,22.85,22.7,22.75,0.0,1913
2,110/11/03,5187466,117844392,22.75,22.8,22.65,22.75,-0.05,2383
1,110/11/02,9194848,209255398,22.75,22.8,22.65,22.8,0.15,3003
0,110/11/01,6593821,149237469,22.65,22.8,22.55,22.65,0.05,2715
19,110/10/29,10530233,238228048,22.75,22.75,22.6,22.6,-0.15,4398
18,110/10/28,7737346,176001897,22.8,22.8,22.7,22.75,-0.1,3543
17,110/10/27,8926812,203667501,22.75,22.9,22.7,22.85,0.1,3007
16,110/10/26,17045529,386489306,22.55,22.75,22.5,22.75,0.25,4871
15,110/10/25,4722915,106048852,22.4,22.5,22.4,22.5,0.1,2376
14,110/10/22,4857148,109025330,22.45,22.55,22.4,22.4,-0.05,2123
13,110/10/21,9312464,209610784,22.5,22.6,22.4,22.45,-0.05,2847
12,110/10/20,6326684,142014385,22.5,22.5,22.35,22.5,0.1,2777
11,110/10/19,8739956,196189926,22.55,22.55,22.35,22.4,0.0,3002
10,110/10/18,10395109,232349770,22.3,22.4,22.25,22.4,0.15,4105
9,110/10/15,8140631,180716432,22.25,22.3,22.1,22.25,0.15,3834
8,110/10/14,8652503,192032932,22.2,22.35,22.1,22.1,-0.05,3998
7,110/10/13,9573726,211632174,22.1,22.15,22.0,22.15,0.1,4308
6,110/10/12,13758598,301434415,21.85,22.05,21.75,22.05,0.05,4776
5,110/10/08,5429621,119703326,22.15,22.2,22.0,22.0,-0.15,2300
4,110/10/07,9452929,209020458,22.05,22.15,22.0,22.15,0.2,2787
3,110/10/06,11840981,259872899,21.95,22.05,21.9,21.95,0.0,4470
2,110/10/05,11128370,244319481,22.0,22.05,21.85,21.95,-0.05,3463
1,110/10/04,8725549,191511865,22.0,22.05,21.85,22.0,0.0,3413
0,110/10/01,18577198,406691651,22.0,22.0,21.8,22.0,-0.1,7995
19,110/09/30,8318893,183206052,22.0,22.1,21.9,22.1,+0.05,2388
18,110/09/29,13485132,296372088,22.1,22.1,21.9,22.05,-0.10,6388
17,110/09/28,6825419,150650718,22.0,22.15,21.95,22.15,+0.10,2654
16,110/09/27,6081316,134417587,22.1,22.2,22.05,22.05,-0.10,2537
15,110/09/24,5118848,113360983,22.15,22.2,22.1,22.15,+0.05,2563
14,110/09/23,9035479,198743814,21.85,22.1,21.85,22.1,+0.35,2680
13,110/09/22,20561026,446484234,21.75,21.85,21.6,21.75,-0.25,10838
12,110/09/17,19315282,425848968,22.2,22.2,22.0,22.0,-0.20,4271
11,110/09/16,7867306,174373992,22.1,22.2,22.1,22.2,+0.05,3038
10,110/09/15,11108617,245511429,22.2,22.2,22.0,22.15,-0.05,3820
9,110/09/14,12093656,267474719,22.1,22.2,22.0,22.2,+0.15,3342
8,110/09/13,9269787,203644928,22.0,22.05,21.8,22.05,0.00,3331
7,110/09/10,9326916,204982742,21.85,22.05,21.85,22.05,+0.15,2800
6,110/09/09,12797845,280733786,22.0,22.0,21.85,21.9,-0.15,3949
5,110/09/08,18993464,418914598,22.05,22.2,21.95,22.05,X0.00,6124
4,110/09/07,11305390,252739258,22.35,22.4,22.25,22.4,+0.05,4038
3,110/09/06,9522947,212550097,22.3,22.35,22.25,22.35,+0.05,3846
2,110/09/03,12076002,268306152,22.15,22.3,22.05,22.3,+0.25,4142
1,110/09/02,9779824,215743293,22.15,22.2,22.0,22.05,-0.15,4356
0,110/09/01,10604257,235592828,22.25,22.3,22.15,22.2,-0.15,4090
21,110/08/31,21642194,480699896,22.05,22.35,22.0,22.35,+0.20,4688
20,110/08/30,14691229,322979581,21.95,22.15,21.85,22.15,+0.30,4279
19,110/08/27,12833267,278520715,21.45,21.85,21.45,21.85,+0.45,4085
