,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
16,110/12/23,8435622,235426530,27.8,28.0,27.8,27.9,0.0,3394
15,110/12/22,7405889,206438432,27.95,28.0,27.8,27.9,-0.05,3832
14,110/12/21,9918642,276401507,27.8,27.95,27.7,27.95,0.15,3176
13,110/12/20,9006029,250393754,27.9,27.95,27.7,27.8,-0.2,4768
12,110/12/17,16264760,454687646,27.85,28.0,27.8,28.0,0.15,4755
11,110/12/16,8241599,228953267,27.75,27.85,27.7,27.85,0.15,3676
10,110/12/15,9649505,267210560,27.7,27.8,27.6,27.7,-0.05,3988
9,110/12/14,13474778,373490398,27.85,27.85,27.6,27.75,-0.1,5482
8,110/12/13,14333956,400267665,28.0,28.0,27.85,27.85,-0.1,35046
7,110/12/10,13583997,379519855,27.95,28.0,27.9,27.95,-0.05,6932
6,110/12/09,16325166,456291370,28.0,28.0,27.9,28.0,0.0,5586
5,110/12/08,15032435,420575171,28.05,28.05,27.9,28.0,0.0,5854
4,110/12/07,19480735,543401804,27.8,28.0,27.65,28.0,0.1,9931
3,110/12/06,14600799,406477391,27.75,27.95,27.6,27.9,0.05,66617
2,110/12/03,15584977,433524293,27.9,27.95,27.7,27.85,0.15,7154
1,110/12/02,12737763,351239828,27.55,27.7,27.35,27.7,0.15,4839
0,110/12/01,12216217,334330069,27.0,27.55,26.95,27.55,0.6,6458
21,110/11/30,45505481,1231270817,27.2,27.5,26.95,26.95,-0.25,7399
20,110/11/29,18649645,508057394,27.15,27.4,27.1,27.2,-0.4,7940
19,110/11/26,19228935,530296009,27.7,27.75,27.5,27.6,-0.3,14735
18,110/11/25,12147669,338360954,28.0,28.0,27.75,27.9,-0.1,6517
17,110/11/24,34471498,964065264,27.6,28.25,27.55,28.0,0.6,11110
16,110/11/23,12217468,333967521,27.35,27.4,27.2,27.4,-0.1,5000
15,110/11/22,21934802,600581234,27.6,27.6,27.15,27.5,-0.15,8820
14,110/11/19,18220317,505513871,27.95,27.95,27.65,27.65,-0.3,10811
13,110/11/18,14495908,404638944,27.95,27.95,27.85,27.95,0.0,6687
12,110/11/17,13117902,366011726,27.9,27.95,27.85,27.95,0.05,6051
11,110/11/16,18102625,504823295,27.95,27.95,27.85,27.9,-0.05,8175
10,110/11/15,25906897,721605783,27.6,27.95,27.6,27.95,0.35,11471
9,110/11/12,19736925,545755646,27.75,27.8,27.5,27.6,-0.15,10138
8,110/11/11,40635053,1122842685,27.5,27.8,27.45,27.75,0.4,13835
7,110/11/10,34481647,941794102,27.0,27.45,26.95,27.35,0.35,10786
6,110/11/09,15162610,408207339,26.85,27.0,26.8,27.0,0.1,5242
5,110/11/08,14922351,400728722,26.8,26.9,26.7,26.9,0.1,5961
4,110/11/05,9341164,249694761,26.7,26.8,26.65,26.8,0.1,4641
3,110/11/04,11137037,297648208,26.75,26.8,26.7,26.7,0.0,4103
2,110/11/03,7079777,188831664,26.65,26.7,26.55,26.7,0.0,3367
1,110/11/02,9654855,257681839,26.75,26.75,26.65,26.7,0.05,3743
0,110/11/01,17790152,458675302,26.8,26.85,26.6,26.65,0.1,4589
19,110/10/29,33121835,846589036,26.4,26.6,26.35,26.55,-0.05,5472
18,110/10/28,27772014,709642890,26.8,26.8,26.6,26.6,-0.15,5874
17,110/10/27,26612275,677824983,26.65,26.8,26.6,26.75,0.1,5889
16,110/10/26,23461144,624126305,26.45,26.65,26.45,26.65,0.3,6626
15,110/10/25,9479199,249985401,26.45,26.45,26.3,26.35,-0.1,4233
14,110/10/22,8515783,225302757,26.5,26.5,26.4,26.45,-0.05,3936
13,110/10/21,23098991,610679275,26.4,26.5,26.3,26.5,0.2,6888
12,110/10/20,12746213,334862058,26.3,26.3,26.2,26.3,0.05,7036
11,110/10/19,12195107,319941123,26.3,26.3,26.15,26.25,0.05,5110
10,110/10/18,12179328,319166624,26.2,26.25,26.15,26.2,0.0,6035
9,110/10/15,15316404,401008874,26.15,26.25,26.1,26.2,0.1,6799
8,110/10/14,10578804,276567313,26.15,26.3,26.0,26.1,-0.05,4051
7,110/10/13,11601428,303396802,26.2,26.3,26.05,26.15,0.0,5246
6,110/10/12,24492414,636700594,25.9,26.15,25.85,26.15,0.15,6602
5,110/10/08,12716076,331140035,26.2,26.2,26.0,26.0,-0.25,6064
4,110/10/07,14558813,381721080,26.15,26.35,26.1,26.25,0.2,5420
3,110/10/06,17223065,447524260,25.95,26.1,25.9,26.05,0.15,7546
2,110/10/05,17500039,453592570,25.9,26.0,25.85,25.9,-0.1,9226
1,110/10/04,16122298,419729230,26.1,26.15,26.0,26.0,-0.1,7309
0,110/10/01,24185129,629998632,26.15,26.25,26.0,26.1,-0.2,12723
19,110/09/30,19306844,506980550,26.35,26.35,26.15,26.3,-0.05,8571
18,110/09/29,21834595,572974866,26.4,26.4,26.1,26.35,-0.05,7766
17,110/09/28,9491834,250095176,26.4,26.45,26.25,26.4,0.0,4102
16,110/09/27,16292537,430021191,26.35,26.45,26.3,26.4,0.1,5385
15,110/09/24,12368287,325514287,26.4,26.45,26.2,26.3,0.05,4392
14,110/09/23,12783319,334544125,26.0,26.25,26.0,26.25,0.35,4516
13,110/09/22,41213177,1066672264,25.95,26.0,25.8,25.9,-0.35,18847
12,110/09/17,34021122,894578553,26.35,26.4,26.25,26.25,-0.1,5692
11,110/09/16,14730943,387645443,26.3,26.4,26.2,26.35,0.05,4992
10,110/09/15,10612737,279406843,26.4,26.4,26.3,26.3,-0.05,5663
9,110/09/14,14606628,384811408,26.3,26.4,26.25,26.35,0.05,4771
8,110/09/13,13863084,364186032,26.3,26.3,26.2,26.3,0.0,4854
7,110/09/10,16748668,439342372,26.25,26.3,26.1,26.3,0.05,4850
6,110/09/09,19390861,508491392,26.25,26.3,26.1,26.25,0.0,5143
5,110/09/08,27289469,715407609,26.25,26.3,26.15,26.25,0.0,7560
4,110/09/07,16512183,432145912,26.25,26.25,26.05,26.25,0.0,5154
3,110/09/06,21135154,554622114,26.3,26.35,26.1,26.25,-0.05,6845
2,110/09/03,22820006,599258167,26.25,26.4,26.15,26.3,0.05,6656
1,110/09/02,33577808,877305817,26.1,26.25,25.95,26.25,0.2,8226
0,110/09/01,55122184,1438666627,26.55,26.55,26.0,26.05,-0.55,22934
21,110/08/31,104915589,2746743903,26.0,26.6,25.9,26.6,X0.00,26982
20,110/08/30,75699641,2106071792,27.8,27.9,27.7,27.85,+0.15,19747
19,110/08/27,62140957,1710113851,27.4,27.7,27.3,27.7,+0.30,15102
18,110/08/26,36242747,990938469,27.35,27.4,27.25,27.4,+0.05,7312
17,110/08/25,27187477,742795380,27.35,27.45,27.2,27.35,+0.05,7652
16,110/08/24,52734757,1427035544,27.0,27.3,26.9,27.3,+0.40,11603
15,110/08/23,25626883,689723860,26.95,27.0,26.85,26.9,+0.05,6022
14,110/08/20,22445425,603034228,26.95,26.95,26.75,26.85,-0.10,6176
13,110/08/19,36162640,972723765,26.95,27.0,26.8,26.95,-0.05,8451
12,110/08/18,28596475,769694530,26.9,27.0,26.75,27.0,+0.05,8625
11,110/08/17,30444548,815358726,26.7,26.95,26.65,26.95,+0.25,8095
10,110/08/16,25243024,674789894,26.9,26.9,26.6,26.7,-0.25,7958
9,110/08/13,17716488,476602177,27.0,27.0,26.85,26.95,-0.05,5525
8,110/08/12,17135323,462174019,27.0,27.0,26.9,27.0,0.00,5114
7,110/08/11,13865597,373788795,27.0,27.0,26.9,27.0,0.00,4622
6,110/08/10,17759475,477762855,26.9,27.0,26.8,27.0,+0.10,5869
5,110/08/09,22229899,595837540,26.85,26.9,26.65,26.9,+0.05,5233
4,110/08/06,15172912,407651389,26.9,26.95,26.8,26.85,-0.05,4110
3,110/08/05,15985429,429669078,26.8,26.95,26.8,26.9,0.00,5443
2,110/08/04,14608130,392982140,26.9,26.95,26.85,26.9,-0.05,4686
1,110/08/03,11847266,318484628,26.9,26.95,26.8,26.95,+0.05,3649
0,110/08/02,24601111,659467926,26.6,26.9,26.6,26.9,+0.40,7284
21,110/07/30,20357391,540522041,26.6,26.65,26.5,26.5,-0.1,4745
