,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
17,110/12/24,7113024,148758244,20.95,21.0,20.85,20.95,0.0,1665
16,110/12/23,5254750,109822138,20.85,20.95,20.85,20.95,0.1,1892
15,110/12/22,4765713,99324340,20.95,20.95,20.8,20.85,-0.05,2635
14,110/12/21,6616603,138192376,20.75,20.95,20.75,20.9,0.1,1720
13,110/12/20,8765613,182319491,20.85,20.9,20.75,20.8,-0.2,3384
12,110/12/17,9091632,190508660,20.85,21.0,20.8,21.0,0.2,2335
11,110/12/16,4327759,90162009,20.85,20.95,20.8,20.8,0.0,2258
10,110/12/15,7603787,158320870,20.9,20.95,20.75,20.8,-0.15,3352
9,110/12/14,8235571,171959931,20.85,21.05,20.8,20.95,-0.1,48390
8,110/12/13,8564920,180592266,21.1,21.2,21.0,21.05,0.05,3452
7,110/12/10,8944843,188077109,21.0,21.15,20.9,21.0,0.0,2848
6,110/12/09,9294920,194718834,20.9,21.0,20.85,21.0,0.1,4199
5,110/12/08,9344157,194820707,20.9,20.9,20.75,20.9,0.1,3427
4,110/12/07,10658063,220928777,20.75,20.85,20.6,20.8,0.1,19603
3,110/12/06,9436626,195072495,20.5,20.8,20.45,20.7,0.1,3331
2,110/12/03,8862039,182681599,20.6,20.7,20.5,20.6,0.05,2918
1,110/12/02,8531519,174866143,20.55,20.65,20.4,20.55,-0.05,2798
0,110/12/01,8987101,184231184,20.3,20.6,20.3,20.6,0.4,4157
21,110/11/30,30956301,628362916,20.45,20.6,20.2,20.2,-0.25,5915
20,110/11/29,9982951,204370198,20.45,20.65,20.35,20.45,-0.1,3536
19,110/11/26,15349290,316508181,20.8,20.85,20.5,20.55,-0.3,6421
18,110/11/25,7298229,151675446,20.8,20.85,20.7,20.85,0.05,2544
17,110/11/24,5212137,108726424,20.8,21.0,20.8,20.8,0.05,2316
16,110/11/23,6337498,131802467,20.85,20.9,20.75,20.75,-0.15,2657
15,110/11/22,6181625,129221954,20.95,21.0,20.85,20.9,-0.05,2447
14,110/11/19,11968430,251499986,21.2,21.25,20.85,20.95,-0.25,5681
13,110/11/18,12478510,264754508,21.15,21.35,21.15,21.2,0.1,3947
12,110/11/17,11757638,247189298,20.9,21.1,20.9,21.1,0.15,4167
11,110/11/16,8708726,182230452,20.95,21.0,20.85,20.95,0.05,2650
10,110/11/15,10795830,225654446,20.8,21.0,20.75,20.9,0.15,3547
9,110/11/12,9596091,198977325,20.7,20.8,20.55,20.75,0.25,3422
8,110/11/11,6706855,137910538,20.55,20.65,20.5,20.5,-0.1,3203
7,110/11/10,9563019,196291181,20.4,20.6,20.35,20.6,0.15,2939
6,110/11/09,7456714,152252066,20.4,20.45,20.35,20.45,0.05,2066
5,110/11/08,7327155,149422012,20.4,20.45,20.35,20.4,0.05,2277
4,110/11/05,4793734,97411671,20.3,20.35,20.3,20.35,0.05,2080
3,110/11/04,9881022,201001391,20.45,20.45,20.3,20.3,-0.1,2522
2,110/11/03,6230575,126863077,20.35,20.45,20.3,20.4,-0.05,2161
1,110/11/02,10369925,211589804,20.4,20.45,20.3,20.45,0.1,2998
0,110/11/01,6899944,140478685,20.4,20.45,20.3,20.35,0.0,2086
19,110/10/29,10607403,215935707,20.35,20.45,20.3,20.35,-0.05,3254
18,110/10/28,5778114,117615842,20.3,20.4,20.3,20.4,0.05,2077
17,110/10/27,6825611,139221400,20.45,20.5,20.35,20.35,-0.15,2501
16,110/10/26,18464557,377140731,20.35,20.5,20.3,20.5,0.15,3030
15,110/10/25,3811790,77444418,20.3,20.35,20.25,20.35,0.05,1907
14,110/10/22,3809696,77520449,20.4,20.4,20.3,20.3,-0.05,1475
13,110/10/21,8589535,175036150,20.4,20.45,20.3,20.35,0.0,2432
12,110/10/20,6256893,127090752,20.25,20.35,20.2,20.35,0.1,2878
11,110/10/19,7919541,160813745,20.35,20.4,20.25,20.25,-0.05,2845
10,110/10/18,6558456,133034373,20.2,20.35,20.15,20.3,0.1,2673
9,110/10/15,8244436,166163579,20.1,20.2,20.05,20.2,0.15,3351
8,110/10/14,6108845,123018661,20.2,20.25,20.05,20.05,-0.05,3011
7,110/10/13,4979761,100154675,20.15,20.15,20.05,20.1,0.0,2574
6,110/10/12,12560565,251741571,20.0,20.15,19.95,20.1,-0.05,5075
5,110/10/08,6865038,138657993,20.35,20.35,20.15,20.15,-0.15,3990
