,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
5,108/07/08,12944923,229984654,17.9,17.9,17.65,17.75,-0.25,3022
4,108/07/05,7524433,135241964,18.0,18.05,17.95,18.0,+0.05,1668
3,108/07/04,7986339,143659602,17.9,18.05,17.85,17.95,+0.20,3107
2,108/07/03,13181000,235191225,17.9,17.95,17.75,17.75,-0.10,3035
1,108/07/02,21622400,388871019,18.05,18.1,17.85,17.85,X0.00,4638
0,108/07/01,29053304,548188494,18.7,18.95,18.7,18.95,+0.30,4934
18,108/06/28,19610066,366777731,18.75,18.8,18.65,18.65,-0.2,2858
17,108/06/27,17983279,339164283,18.8,18.9,18.75,18.85,0.05,2968
16,108/06/26,6373003,119695670,18.7,18.85,18.7,18.8,0.1,1778
15,108/06/25,20052702,375698494,18.75,18.8,18.7,18.7,-0.2,2584
14,108/06/24,14295152,269871503,18.9,18.95,18.8,18.9,0.0,2092
13,108/06/21,25245181,476675272,18.9,18.95,18.8,18.9,0.05,3694
12,108/06/20,23688782,444688022,18.65,18.9,18.6,18.85,0.25,4946
11,108/06/19,39034197,721533973,18.15,18.7,18.15,18.6,0.5,8478
10,108/06/18,10047192,181241483,18.0,18.1,17.95,18.1,0.05,2509
9,108/06/17,9319293,168171678,17.95,18.1,17.9,18.05,0.2,2849
8,108/06/14,10870979,194174421,17.75,17.95,17.75,17.85,0.0,3368
7,108/06/13,13376804,239257488,17.9,17.95,17.85,17.85,-0.1,2638
6,108/06/12,12758304,229516742,18.05,18.1,17.9,17.95,-0.1,2537
5,108/06/11,11088946,199973314,18.05,18.1,17.95,18.05,-0.05,3152
4,108/06/10,16387213,296202231,18.05,18.15,18.0,18.1,0.05,3280
3,108/06/06,23062401,415534016,17.95,18.1,17.9,18.05,0.15,3323
2,108/06/05,19072279,342428313,18.0,18.0,17.9,17.9,0.15,4047
1,108/06/04,15526039,276406156,17.9,17.95,17.7,17.75,-0.2,2848
0,108/06/03,23935336,426733763,17.6,17.95,17.55,17.95,0.2,5209
21,108/05/31,24788953,437521585,17.45,17.75,17.45,17.75,0.15,4946
20,108/05/30,15164598,266294044,17.5,17.65,17.5,17.6,0.1,3238
19,108/05/29,17557095,306114024,17.3,17.5,17.3,17.5,0.2,4123
18,108/05/28,41147916,712314524,17.45,17.45,17.3,17.3,-0.1,3391
