Unnamed: 0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,111/05/27,6036216,465867079,77.0,77.5,76.2,77.2,0.5,3348
0,111/05/26,6281393,480859171,76.3,76.8,76.1,76.7,1.0,3995
0,111/05/25,5343612,404370093,75.6,76.2,75.0,75.7,0.7,2827
0,111/05/24,8842931,664697630,75.6,76.4,74.9,75.0,-0.5,4158
0,111/05/23,8734070,660084087,75.4,76.2,75.0,75.5,1.0,4581
0,111/05/20,9452407,707002199,75.2,75.6,74.5,74.5,-0.6,6110
0,111/05/19,11082298,825942469,74.8,75.2,74.1,75.1,-0.6,7422
0,111/05/18,15277593,1151590059,75.1,76.0,74.9,75.7,0.3,8780
0,111/05/17,16279793,1229002893,76.3,76.4,75.1,75.4,-1.0,9151
0,111/05/16,21604775,1666870715,80.5,80.6,76.0,76.4,-5.7,16183
0,111/05/13,7371494,602084547,82.4,82.5,81.1,82.1,0.0,6013
0,111/05/12,7082744,581753437,82.5,83.2,81.5,82.1,-0.9,5984
0,111/05/11,6085644,505519434,82.6,83.5,82.5,83.0,-0.6,3321
0,111/05/10,6623025,553397365,83.9,84.4,82.5,83.6,-1.3,4105
0,111/05/09,4100933,347525014,84.0,85.6,83.7,84.9,-0.7,2370
0,111/05/06,4985408,424607261,84.5,85.8,84.5,85.6,0.1,3193
0,111/05/05,4217785,361499872,85.9,86.1,85.4,85.5,0.3,3578
0,111/05/04,4371014,369628039,83.3,85.3,83.2,85.2,1.6,2528
0,111/05/03,5113073,425532601,83.7,84.0,82.3,83.6,-0.2,2501
0,111/04/29,3520202,294467995,82.9,84.2,82.9,83.8,0.9,2839
0,111/04/28,4729806,391078013,82.8,83.1,82.1,82.9,-0.1,3828
0,111/04/27,5452921,452994577,83.2,83.8,82.7,83.0,-0.9,3068
0,111/04/26,10971401,916022536,83.3,84.0,82.2,83.9,0.7,4998
0,111/04/25,9274794,773252806,83.6,84.0,83.0,83.2,-1.3,6909
0,111/04/22,12042870,1015073125,84.1,84.9,83.6,84.5,-0.1,6324
0,111/04/21,8799100,747769744,85.7,85.7,84.6,84.6,-1.2,5172
0,111/04/20,13808449,1173512572,85.0,85.8,84.3,85.8,0.8,6969
0,111/04/19,5229569,445959102,85.0,85.7,85.0,85.0,-0.2,2652
0,111/04/18,8063347,685254693,85.3,85.6,84.4,85.2,-0.7,4828
0,111/04/15,5771005,493532262,85.3,85.9,85.1,85.9,0.3,3798
0,111/04/14,8686027,748446819,86.8,86.9,85.6,85.6,-2.1,5768
0,111/04/13,5446692,474201482,86.8,87.7,86.3,87.7,2.0,3150
0,111/04/12,6397989,548695983,85.5,86.3,85.2,85.7,0.1,4059
0,111/04/11,8175208,702615553,85.9,87.8,85.3,85.6,-0.3,5182
0,111/04/08,10042688,859909497,86.0,86.3,85.3,85.9,-0.1,6238
0,111/04/07,10463241,901937416,86.2,86.7,85.7,86.0,-1.0,7318
0,111/04/06,11968308,1036489076,86.1,87.1,85.8,87.0,0.5,7840
0,111/04/01,17886288,1547111669,87.2,87.3,86.2,86.5,-1.8,11894
0,111/03/31,15003621,1329327784,89.3,89.7,88.1,88.3,-1.3,10039
0,111/03/30,14113717,1266866125,90.0,90.3,89.2,89.6,-1.7,9404
0,111/03/29,6325705,575635116,91.0,91.5,90.8,91.3,-0.5,6096
0,111/03/28,5157892,469383384,90.6,91.8,90.4,91.8,0.3,7832
0,111/03/25,5049429,460625928,91.1,91.5,91.0,91.5,-0.3,5913
0,111/03/24,4503994,412937010,91.9,91.9,91.3,91.8,-0.9,3376
0,111/03/23,4812851,442629309,91.4,92.7,91.2,92.7,1.3,3969
0,111/03/22,7350747,670487858,92.0,92.1,90.8,91.4,-0.6,8769
0,111/03/21,5617141,517791343,92.5,92.7,91.9,92.0,-0.5,4031
0,111/03/18,10271938,949189049,92.4,92.7,92.0,92.5,0.1,3137
0,111/03/17,11975189,1106875612,93.4,93.6,91.4,92.4,0.4,7387
0,111/03/16,8939761,816651036,91.0,92.4,90.6,92.0,1.0,4788
0,111/03/15,5714508,519785229,92.0,92.0,90.7,91.0,-1.0,3861
0,111/03/14,5189816,476415359,92.0,92.5,91.4,92.0,0.0,3383
0,111/03/11,3695314,340954897,92.7,92.8,91.9,92.0,-0.6,3416
0,111/03/10,10425878,963516811,91.1,93.3,90.9,92.6,3.5,6551
0,111/03/09,10601491,946771164,89.9,90.4,88.7,89.1,-0.5,12189
0,111/03/08,13820712,1239072681,89.3,90.8,88.8,89.6,-1.3,12276
0,111/03/07,11743611,1064313029,91.6,91.9,90.0,90.9,-2.0,10404
0,111/03/04,5243041,486687808,92.6,93.3,92.2,92.9,-0.7,5326
0,111/03/03,2921013,273375763,93.7,93.9,93.4,93.6,0.4,1897
0,111/03/02,5611028,522328959,93.4,93.5,92.4,93.2,-0.6,3706
0,111/03/01,5994747,562261081,94.0,94.9,93.1,93.8,0.9,4006
0,111/02/25,10923524,1008421147,92.6,93.3,91.5,92.9,1.0,6947
0,111/02/24,14375963,1324148712,93.5,93.6,91.3,91.9,-2.4,9202
0,111/02/23,4110587,387718555,94.8,94.8,94.0,94.3,-0.5,2919
0,111/02/22,8072066,756739281,94.4,94.8,92.8,94.8,0.1,8280
0,111/02/21,4795516,452615591,93.4,95.0,93.2,94.7,0.4,3061
0,111/02/18,4577361,430033842,92.8,94.3,92.8,94.3,1.1,2851
0,111/02/17,5420759,505453308,93.8,93.9,92.9,93.2,-0.2,4642
0,111/02/16,6020863,560192486,92.7,93.6,92.4,93.4,1.0,7391
0,111/02/15,3450078,318533065,92.3,92.8,91.6,92.4,-0.2,2652
0,111/02/14,5539179,510844994,92.9,92.9,91.7,92.6,-1.2,7006
0,111/02/11,5199338,487243521,93.9,94.1,93.4,93.8,-1.2,9801
0,111/02/10,7411579,702779403,95.8,95.8,94.2,95.0,-0.7,7853
0,111/02/09,12112190,1156030972,94.6,96.0,94.3,95.7,1.5,6934
0,111/02/08,6246837,586976416,94.1,94.2,93.6,94.2,0.5,4773
0,111/02/07,6432136,599839279,92.9,93.8,92.5,93.7,0.8,5157
0,111/01/26,4941814,458810996,93.0,93.5,92.4,92.9,-0.1,4104
0,111/01/25,9069851,839586989,92.4,93.4,91.9,93.0,-1.0,8027
0,111/01/24,7267867,677084552,92.2,94.0,91.9,94.0,1.1,3834
0,111/01/21,9359986,863993166,92.5,92.9,91.8,92.9,0.1,4744
0,111/01/20,8833365,820919962,93.1,93.6,92.5,92.8,-0.6,4400
0,111/01/19,7374152,687202143,92.9,93.9,92.6,93.4,0.0,6999
0,111/01/18,9448384,882922586,92.2,93.9,92.2,93.4,1.5,7606
0,111/01/17,5053441,464232465,92.1,92.6,91.6,91.9,-0.6,7876
0,111/01/14,8309532,763358746,92.2,92.5,91.1,92.5,0.3,4102
0,111/01/13,9380844,862494702,92.4,93.1,91.4,92.2,0.3,6524
0,111/01/12,5162013,474448887,92.5,92.8,91.5,91.9,-0.2,3208
0,111/01/11,10866116,997170588,92.1,92.3,91.1,92.1,-0.4,5998
0,111/01/10,8232529,761097070,93.5,93.6,91.9,92.5,-0.5,5359
0,111/01/07,9386095,874117642,93.6,94.6,92.2,93.0,-0.3,6335
0,111/01/06,7515833,697285679,93.2,93.5,92.1,93.3,-0.2,5639
0,111/01/05,5700952,531021036,92.9,93.7,92.7,93.5,0.0,4002
0,111/01/04,8594808,801610755,93.7,94.5,92.8,93.5,-0.2,7110
0,111/01/03,7772801,731562040,95.3,95.8,93.3,93.7,-1.0,8743
16,110/12/23,4120807,371343677,90.1,90.4,89.7,90.3,0.3,4494
15,110/12/22,5963243,535638503,90.1,90.3,89.3,90.0,0.7,4331
14,110/12/21,7937373,705561617,87.8,89.5,87.8,89.3,1.5,6531
13,110/12/20,9656032,852866634,88.4,89.3,87.8,87.8,-1.1,14438
12,110/12/17,9375036,835883830,89.2,90.0,88.9,88.9,-1.2,11935
11,110/12/16,9453764,850315044,89.7,90.3,89.3,90.1,1.3,6205
10,110/12/15,5745438,509652900,89.3,89.3,88.3,88.8,-0.5,8817
9,110/12/14,7204980,641869789,88.4,89.5,87.9,89.3,0.6,5220
8,110/12/13,6635793,591563126,89.7,89.9,88.7,88.7,-0.6,11544
7,110/12/10,7185694,642426513,89.2,89.8,88.7,89.3,0.3,6463
6,110/12/09,6043454,535954799,89.1,89.1,88.2,89.0,0.6,4067
5,110/12/08,8206285,727048205,88.4,89.2,88.0,88.4,0.5,5642
4,110/12/07,6850128,599705335,87.1,88.0,87.0,87.9,0.6,3688
3,110/12/06,4424313,387564074,87.4,88.1,86.9,87.3,-0.5,3119
2,110/12/03,5822781,513121021,88.2,88.5,87.7,87.8,-0.1,5032
1,110/12/02,6898020,601781617,87.2,88.0,86.7,87.9,0.0,7060
0,110/12/01,6686246,585237208,86.3,87.9,86.3,87.9,2.0,4921
21,110/11/30,13579221,1176084997,86.5,87.8,85.9,85.9,-0.7,6655
20,110/11/29,5242250,452475015,85.2,87.2,85.1,86.6,0.0,5200
19,110/11/26,4805424,418432490,87.5,87.8,86.5,86.6,-1.4,5195
18,110/11/25,3214098,281884842,87.6,88.0,87.2,88.0,1.0,2464
17,110/11/24,3043424,265022188,87.9,88.0,86.6,87.0,-0.6,2677
16,110/11/23,7326300,637751824,86.5,87.6,85.8,87.6,1.1,4655
15,110/11/22,6334256,547620498,86.9,87.2,85.8,86.5,-0.4,5279
14,110/11/19,9752345,848335288,87.8,88.1,86.3,86.9,-1.4,9742
13,110/11/18,5862445,516291125,88.5,88.6,87.5,88.3,-0.2,4546
12,110/11/17,8452216,745247013,89.1,89.2,87.3,88.5,-0.1,7078
11,110/11/16,17167420,1511708886,87.0,88.6,87.0,88.6,2.6,10150
10,110/11/15,19612964,1680904464,85.0,86.3,83.9,86.0,3.0,10781
9,110/11/12,7161193,593796665,82.9,83.5,82.3,83.0,0.5,3671
8,110/11/11,3917807,323417954,82.8,83.0,82.2,82.5,-0.3,2642
7,110/11/10,13028699,1079259753,82.0,83.9,81.9,82.8,1.7,7968
6,110/11/09,6319798,511349128,81.5,81.5,80.4,81.1,-0.4,4726
5,110/11/08,8317335,672282036,80.1,81.5,79.8,81.5,1.5,4732
4,110/11/05,6535540,520660524,79.7,80.2,78.7,80.0,0.3,4401
3,110/11/04,5646943,448858618,79.0,79.8,79.0,79.7,0.6,3059
2,110/11/03,2882424,227885901,79.5,79.5,78.7,79.1,-0.1,2243
1,110/11/02,5517012,436906553,79.1,79.4,78.9,79.2,0.7,2859
0,110/11/01,3940805,309602198,78.1,78.9,78.1,78.5,0.5,2257
19,110/10/29,3824054,298922437,78.9,78.9,77.8,78.0,-0.9,1958
18,110/10/28,1951836,153723776,79.1,79.1,78.5,78.9,0.3,1238
17,110/10/27,3040364,239278848,78.7,79.2,78.4,78.6,-0.6,1688
16,110/10/26,6535074,516950084,78.3,79.3,78.2,79.2,1.3,2972
15,110/10/25,3929551,307361732,78.3,78.7,77.8,77.9,-0.4,2096
14,110/10/22,5969690,467089440,78.5,78.8,77.9,78.3,0.4,2431
13,110/10/21,6005775,467645564,78.7,78.7,77.6,77.9,-0.5,3123
12,110/10/20,6537175,515115351,79.7,79.7,78.2,78.4,-1.0,4233
11,110/10/19,4340666,343405320,79.2,79.4,78.6,79.4,0.5,3141
10,110/10/18,6332664,500712599,78.9,79.4,78.5,78.9,0.5,3049
9,110/10/15,7568897,594787310,79.3,79.6,78.2,78.4,-0.5,3993
8,110/10/14,5922053,465161720,78.1,78.9,77.8,78.9,1.5,3205
7,110/10/13,4649788,360187323,77.8,78.1,76.8,77.4,0.5,2453
6,110/10/12,5919223,455674622,77.6,77.6,76.3,76.9,-1.6,3354
5,110/10/08,3461939,272085685,78.2,79.1,78.1,78.5,0.4,2080
4,110/10/07,6555869,514982631,78.0,79.1,77.9,78.1,0.6,3569
3,110/10/06,4490763,347071235,77.1,77.7,76.8,77.5,0.4,2223
2,110/10/05,4685734,361033377,77.4,77.4,76.6,77.1,-0.2,2595
1,110/10/04,4440404,344114943,77.5,78.4,77.2,77.3,0.3,2940
0,110/10/01,6102575,469640613,77.0,78.0,76.5,77.0,-0.5,3283
19,110/09/30,5821330,449600213,76.2,77.8,76.1,77.5,0.8,2992
18,110/09/29,5980481,457932843,76.8,77.1,76.3,76.7,-0.8,3755
17,110/09/28,5107750,396313445,77.7,78.2,77.2,77.5,-0.7,2318
16,110/09/27,6004804,470140537,78.4,78.7,77.8,78.2,-0.2,2132
15,110/09/24,10158016,799949520,79.8,79.9,78.1,78.4,-1.1,6095
14,110/09/23,13208307,1041847982,78.0,79.5,77.9,79.5,1.1,7697
13,110/09/22,12902109,993619146,76.9,78.4,75.8,78.4,0.5,7007
12,110/09/17,13285894,1027430838,76.0,77.9,75.9,77.9,1.9,4057
11,110/09/16,2901516,220102943,76.2,76.4,75.5,76.0,0.1,1746
10,110/09/15,5171837,393519078,76.0,76.6,75.7,75.9,0.2,2737
9,110/09/14,3821256,288689677,75.0,76.1,74.9,75.7,0.5,2180
8,110/09/13,4536907,340063204,74.9,75.5,74.5,75.2,0.3,2639
7,110/09/10,7942232,591529625,75.4,75.5,73.8,74.9,-1.1,5161
6,110/09/09,3630957,275467873,75.7,76.5,75.2,76.0,-0.2,2108
5,110/09/08,4655196,355655572,76.9,77.2,76.0,76.2,-0.7,2744
4,110/09/07,2782830,214498976,76.6,77.5,76.5,76.9,0.1,1350
3,110/09/06,2925553,226155959,77.9,77.9,76.8,76.8,-0.6,1948
2,110/09/03,3470331,268158370,77.3,77.8,77.0,77.4,0.3,1979
1,110/09/02,2629349,203699256,77.8,78.0,77.0,77.1,-0.9,1973
0,110/09/01,4495398,350853780,78.2,78.3,77.8,78.0,-0.4,2922
21,110/08/31,9530056,744013870,77.5,78.4,77.2,78.4,0.9,3360
20,110/08/30,4785918,369361218,76.9,77.5,76.7,77.5,0.7,2781
19,110/08/27,4123327,316034001,76.1,76.9,76.0,76.8,0.5,1949
18,110/08/26,4700085,358721231,77.0,77.2,76.0,76.3,-0.7,2797
17,110/08/25,5528017,425833626,76.8,77.2,76.8,77.0,0.3,3265
16,110/08/24,5987629,458869057,76.3,77.0,76.2,76.7,0.8,3247
15,110/08/23,5707842,434606771,76.4,76.6,75.5,75.9,0.3,3208
14,110/08/20,6821731,516383698,75.9,76.5,74.8,75.6,0.7,4082
13,110/08/19,6795159,506654187,75.0,75.3,74.1,74.9,-0.3,3768
12,110/08/18,12292183,918630004,73.8,75.5,73.5,75.2,1.5,6462
11,110/08/17,9699155,713370949,73.9,74.6,73.2,73.7,0.5,4605
10,110/08/16,12243945,894721126,73.6,73.7,72.5,73.2,-0.5,6315
9,110/08/13,14009399,1037001644,75.9,75.9,73.3,73.7,-2.3,8928
