Unnamed: 0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,111/05/27,20071483,845894688,41.55,42.4,41.55,42.2,0.5,6971
0,111/05/26,18152195,763176626,41.8,42.45,41.7,41.7,0.05,8638
0,111/05/25,18438561,767934402,41.3,41.9,41.25,41.65,0.45,6066
0,111/05/24,19456970,802334030,41.2,41.4,41.15,41.2,0.0,6690
0,111/05/23,17280755,713468777,41.5,41.55,41.15,41.2,0.05,8993
0,111/05/20,40646175,1684989782,41.45,41.95,41.15,41.15,0.05,8770
0,111/05/19,20462182,841890557,41.4,41.4,41.05,41.1,-0.5,9520
0,111/05/18,27849756,1152854765,41.6,41.7,41.1,41.6,0.1,14922
0,111/05/17,22795141,946271377,41.5,41.65,41.25,41.5,0.25,8715
0,111/05/16,25056730,1034064589,41.6,41.7,41.0,41.25,-0.35,12850
0,111/05/13,23315151,964550126,40.9,41.8,40.8,41.6,0.8,10783
0,111/05/12,43856703,1809844078,42.5,42.55,40.8,40.8,-1.85,28776
0,111/05/11,33877400,1446335005,42.5,42.95,42.5,42.65,-1.2,23764
0,111/05/10,19613514,860479194,44.0,44.1,43.65,43.85,-0.4,12140
0,111/05/09,20101665,892540552,45.0,45.05,44.15,44.25,-0.85,15683
0,111/05/06,14855830,670716709,45.35,45.35,45.1,45.1,-0.5,10085
0,111/05/05,9393350,428713516,45.75,45.75,45.5,45.6,0.1,5531
0,111/05/04,11217879,508781908,45.35,45.6,45.25,45.5,0.15,6188
0,111/05/03,23968613,1088068092,45.9,45.9,45.1,45.35,-0.55,15424
0,111/04/29,23092262,1064003213,46.2,46.45,45.9,45.9,-0.2,9340
0,111/04/28,22709193,1041619105,46.0,46.1,45.5,46.1,0.3,9014
0,111/04/27,26325735,1208829840,46.15,46.15,45.7,45.8,-0.4,13065
0,111/04/26,16968438,783380328,46.25,46.4,46.1,46.2,0.1,6634
0,111/04/25,22278056,1029547261,46.35,46.4,46.05,46.1,-0.45,10791
0,111/04/22,15422941,718919209,46.7,46.7,46.4,46.55,-0.25,6455
0,111/04/21,19043921,889869402,46.85,47.15,46.5,46.8,0.2,8793
0,111/04/20,20827417,967720378,46.5,46.75,46.4,46.6,0.25,8722
0,111/04/19,22009910,1006696203,46.5,46.6,46.2,46.35,-0.15,11469
0,111/04/18,25129762,1173068787,47.3,47.3,46.4,46.5,-0.6,16266
0,111/04/15,22509963,1063530927,47.5,47.55,47.05,47.1,-0.6,15639
0,111/04/14,18163935,867688643,48.3,48.3,47.6,47.7,-0.3,11038
0,111/04/13,20257841,972389110,48.15,48.6,47.75,48.0,0.0,16727
0,111/04/12,36482148,1761556194,49.4,49.4,47.8,48.0,-1.45,22999
0,111/04/11,8089418,400306570,49.8,49.95,49.1,49.45,-0.35,8178
