Unnamed: 0,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,111/05/23,12112031,596986240,48.5,49.85,48.1,49.65,1.45,3361
0,111/05/20,7601934,363368974,46.75,48.5,46.5,48.2,1.7,2687
0,111/05/19,4458382,206497165,46.65,46.7,46.0,46.5,-0.8,2197
0,111/05/18,3393682,158976927,46.05,47.3,46.05,47.3,0.9,2774
0,111/05/17,2689071,124765616,46.45,46.65,45.85,46.4,0.15,1381
0,111/05/16,3157345,146043621,47.2,47.3,45.8,46.25,-0.55,2574
0,111/05/13,3521309,164107866,46.65,46.85,46.05,46.8,0.85,1166
0,111/05/12,2620239,120678068,46.75,46.75,45.8,45.95,-0.9,1472
0,111/05/11,4028443,188000034,46.9,47.0,46.35,46.85,-0.45,2388
0,111/05/10,4146115,196058915,46.9,48.0,46.8,47.3,0.3,2650
0,111/05/09,4435659,209020344,47.35,47.65,46.85,47.0,-1.35,2492
0,111/05/06,5039661,242406519,47.9,48.7,47.6,48.35,-0.25,3475
0,111/05/05,3253746,158942409,48.7,49.4,48.45,48.6,0.5,2219
0,111/05/04,1284471,62019363,48.7,48.7,48.1,48.1,-0.5,1540
0,111/05/03,973100,47302574,49.05,49.1,48.35,48.6,-0.4,1560
0,111/04/29,2776862,135743002,48.3,49.1,48.3,49.0,0.25,1163
0,111/04/28,5645671,272295888,48.1,48.75,47.5,48.75,0.6,2934
0,111/04/27,3221505,156073560,48.7,49.1,48.15,48.15,-1.25,2229
0,111/04/26,3014849,148870783,48.45,49.9,48.45,49.4,0.85,2175
0,111/04/25,4026431,195441893,48.7,49.15,48.1,48.55,-1.15,2899
0,111/04/22,3158637,155483614,48.6,49.75,48.6,49.7,0.45,1367
0,111/04/21,2641973,129984318,49.9,49.9,48.85,49.25,-0.3,1922
0,111/04/20,4776884,234827440,48.9,49.75,48.65,49.55,0.65,2713
0,111/04/19,2906180,142860239,49.15,50.1,48.85,48.9,-0.2,1777
0,111/04/18,3022483,148188159,49.0,49.5,48.6,49.1,-0.45,1429
0,111/04/15,2299297,114295879,49.95,50.2,49.35,49.55,-0.2,1169
0,111/04/14,3049928,152566389,51.0,51.0,49.7,49.75,-1.25,1604
0,111/04/13,3947633,200652444,50.5,51.0,50.3,51.0,0.7,1566
0,111/04/12,3127675,157522209,50.1,50.7,49.95,50.3,-0.2,1182
0,111/04/11,5112347,257601596,50.1,50.7,49.6,50.5,0.4,2939
0,111/04/08,2290478,114119205,49.5,50.1,49.4,50.1,1.05,950
0,111/04/07,4712880,234573033,50.2,50.6,49.05,49.05,-1.95,2923
0,111/04/06,8095981,408754558,50.0,51.0,49.6,51.0,1.05,3073
0,111/04/01,3941313,196144385,49.0,50.1,49.0,49.95,-0.25,2197
0,111/03/31,4167184,209794933,50.3,50.5,50.1,50.2,-0.1,2169
0,111/03/30,6738383,337481893,49.9,50.3,49.75,50.3,0.4,3378
0,111/03/29,2829201,140859840,49.6,49.9,49.2,49.9,0.2,2033
0,111/03/28,2602865,128217615,48.5,49.7,48.5,49.7,0.15,1341
0,111/03/25,3517692,173539508,49.0,49.85,49.0,49.55,-0.45,1360
0,111/03/24,6942575,346315690,49.6,50.0,49.25,50.0,0.15,4327
0,111/03/23,6464139,320619536,49.05,49.85,48.95,49.85,0.8,2283
0,111/03/22,3328297,162563782,48.8,49.05,48.45,49.05,0.25,824
0,111/03/21,3040111,148555451,48.7,49.05,48.55,48.8,0.0,1449
0,111/03/18,7340439,356451549,48.3,48.8,48.0,48.8,0.65,2213
0,111/03/17,7310245,350312205,48.2,48.25,47.35,48.15,1.35,3611
0,111/03/16,3694252,171603473,45.5,46.8,45.5,46.8,0.6,1592
0,111/03/15,2536667,116818819,46.3,46.35,45.75,46.2,-0.05,937
0,111/03/14,2729872,125972062,46.0,46.3,45.9,46.25,0.55,879
0,111/03/11,1942598,89244498,46.8,46.8,45.7,45.7,-1.1,1148
0,111/03/10,5006353,232870736,45.3,46.8,45.3,46.8,1.6,1662
0,111/03/09,2594690,117626866,45.15,45.6,45.1,45.2,0.4,1750
0,111/03/08,4665649,209755354,45.0,45.45,44.75,44.8,-0.65,2357
0,111/03/07,6083679,277226513,46.0,46.8,45.0,45.45,-1.45,3158
0,111/03/04,2303225,107568094,46.55,47.05,46.2,46.9,-0.6,1131
0,111/03/03,2436884,115327059,47.45,47.6,47.1,47.5,-0.15,958
